Q100,FI_2,FI_3,Q102,Q100a,Q105,Q106,Q105_a,Q106_a,Q109-Latitude,Q109-Longitude,Q109-Altitude,Q109-Accuracy,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002
MWI_000834,KENNEDY KACHINGWE,Malawi,Manyamula Health Centre,Random,North Zone,Mzimba,PRIMARY,MWI,-11.9400249,33.4392611,1232.1,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,32285
MWI_000829,Juvensio A Galagade,Malawi,Mangochi District Hospital,Panel,South East Zone,Mangochi,SECONDARY,MWI,-14.4821115,35.2661533,471.6,5,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,102734
MWI_001095,Andrew Wavisanga Mvula,Malawi,Mzimba District Hospital,Panel,North Zone,Mzimba,SECONDARY,MWI,-11.8981744,33.5840689,1265,4.9,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,117360
MWI_000982,Juvensio A Galagade,Malawi,Monkeybay Community Hospital,Panel,South East Zone,Mangochi,SECONDARY,MWI,-14.0847716,34.9109873,489.8,4.8,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,57667
MWI_001376,Martin M'bawa,Malawi,St. Michael-Guillime,Panel,Central West Zone,Mchinji,SECONDARY,MWI,-13.88999,33.0749884,1072.7,4.9,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,19471
MWI_000711,Martin M'bawa,Malawi,St. Joseph Hospital (Mchinji),Random,Central West Zone,Mchinji,SECONDARY,MWI,-13.7589032,32.9924493,1107.6,4.5,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,25304
MWI_000945,Vivian Kacheche,Malawi,Mitundu Community Hospital,Random,Central West Zone,Lilongwe,SECONDARY,MWI,-14.2483502,33.7739015,1182.7,4.8,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,227000
MWI_000962,Prince Kaude,Malawi,Mlambe Mission Hospital,Panel,South West Zone,Blantyre,SECONDARY,MWI,-15.6436893,35.0173802,742.5,4.8,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,112000
MWI_000388,Wezzie chikoya,Malawi,Embangweni Mission Hospital,Random,North Zone,Mzimba,SECONDARY,MWI,-12.1359454,33.4771822,1324.5,5,OTHER GENERAL HOSPITAL,,MISSION/FAITH-BASED,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,70000
MWI_000011,Edna Kapindula,Malawi,Lilongwe Adventist Hospital,Random,Central West Zone,Lilongwe,PRIMARY,MWI,-13.9547136,33.7792286,1027.7,4.9,SPECIALTY HOSPITAL,,MISSION/FAITH-BASED,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,1100
MWI_001362,Edna Kapindula,Malawi,St. Gabriel Mission Hospital,Random,Central West Zone,Lilongwe,SECONDARY,MWI,-13.9839364,33.3510508,1146.4,9.1,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,15559
MWI_001504,Lusubilo Musopole Mwakasugula,Malawi,Zingwangwa Health Centre,Random,South West Zone,Blantyre,PRIMARY,MWI,-15.8215391,35.011817,1024.3,4.7,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,OUTPATIENT ONLY,PRIMARY,67505
MWI_001036,SNORRIA KUMPASA,Malawi,Mtimabi Health Centre,Random,South East Zone,Mangochi,PRIMARY,MWI,-14.6110333,35.082545,864,4.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,42000
MWI_000596,KENNEDY KACHINGWE,Malawi,Katete Community Hospital,Random,North Zone,Mzimba,SECONDARY,MWI,-12.345893,33.6141477,1462.5,4.9,OTHER (SPECIFY),Community Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,14643
MWI_000499,Andrew Wavisanga Mvula,Malawi,Kalikumbi Health Centre,Random,North Zone,Mzimba,PRIMARY,MWI,-12.204145,33.3335933,1265,4.4,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,22962
MWI_001098,KENNEDY KACHINGWE,Malawi,Mzuzu Cental Hospital,Panel,North Zone,Mzimba,TERTIARY,MWI,-11.4278351,33.9961126,1275.8,5,CENTRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9
MWI_001410,Vivian Kacheche,Malawi,Thekerani Rural Hospital,Random,South West Zone,Thyolo,SECONDARY,MWI,-16.3212327,35.2073268,705.8,4.8,OTHER (SPECIFY),Rural hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,19780
MWI_000845,Juvensio A Galagade,Malawi,Mase Health Centre,Random,South East Zone,Mangochi,PRIMARY,MWI,-14.5809043,35.3638766,489.6,4.7,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,41410
MWI_001191,Wezzie chikoya,Malawi,Nkhamenya Rural Hospital,Random,Central East Zone,Kasungu,SECONDARY,MWI,-12.5659033,33.5009083,1205.3,4.4,OTHER (SPECIFY),Community Hospital,MISSION/FAITH-BASED,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,64700
MWI_000961,Martin M'bawa,Malawi,Mlale Mission Hospital,Random,Central West Zone,Lilongwe,SECONDARY,MWI,-14.2304307,33.7563714,1204.3,4.6,OTHER (SPECIFY),Community hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,24990
MWI_000846,Prince Kaude,Malawi,Masenjere Health Centre,Random,South West Zone,Nsanje,PRIMARY,MWI,-16.337191,35.0967301,97.4,4.7,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,22302
MWI_000509,KENNEDY KACHINGWE,Malawi,Kaluluma Rural Hospital,Panel,Central East Zone,Kasungu,SECONDARY,MWI,-12.5808556,33.5188308,1193.5,4.8,OTHER (SPECIFY),Rural hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,14953
MWI_001047,SNORRIA KUMPASA,Malawi,Mulibwanji Hospital,Random,South East Zone,Mangochi,SECONDARY,MWI,-14.511518,35.5880259,473.1,4.6,OTHER (SPECIFY),Rural Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9779
MWI_000803,Lusubilo Musopole Mwakasugula,Malawi,Malamulo Mission Hospital,Panel,South West Zone,Thyolo,SECONDARY,MWI,-16.17143,35.1102887,937.3,4.9,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,47000
MWI_001019,Andrew Wavisanga Mvula,Malawi,Msese Health Centre,Random,North Zone,Mzimba,PRIMARY,MWI,-12.359465,33.7399333,1450.9,4.7,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,10620
MWI_000636,Benson Kamanga,Malawi,Koche Community Hospital,Random,South East Zone,Mangochi,SECONDARY,MWI,-14.3325167,35.1434133,491.4,4.7,OTHER (SPECIFY),Community hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,53323
MWI_000325,Martin M'bawa,Malawi,Daeyang Luke Hospital,Random,Central West Zone,Lilongwe,SECONDARY,MWI,-13.8763974,33.8090602,1147.2,4.8,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,46007
MWI_000299,Edna Kapindula,Malawi,Chiwamba Health Centre,Random,Central West Zone,Lilongwe,PRIMARY,MWI,-13.8574268,33.9289919,1150.1,4.5,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,59389
MWI_000776,Juvensio A Galagade,Malawi,Magaleta Health Centre,Random,South West Zone,Neno,PRIMARY,MWI,-15.5506033,34.6280983,565.7,4.6,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,7547
MWI_000314,KENNEDY KACHINGWE,Malawi,Chulu Health Centre,Random,Central East Zone,Kasungu,PRIMARY,MWI,-12.8220033,33.3079533,1040.6,3.9,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,40561
MWI_001160,SNORRIA KUMPASA,Malawi,Neno District Hospital,Random,South West Zone,Neno,SECONDARY,MWI,-15.3953233,34.6537819,892.6,4.9,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,19157
MWI_001203,Prince Kaude,Malawi,Nkhulambe,Random,South East Zone,Phalombe,PRIMARY,MWI,-15.8438035,35.7515105,710.6,4.5,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,26780
MWI_000453,Lusubilo Musopole Mwakasugula,Malawi,Holy Family Mission,Random,South East Zone,Phalombe,SECONDARY,MWI,-15.8246119,35.6188975,767.7,4.2,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,41755
MWI_000113,Andrew Wavisanga Mvula,Malawi,Bua Health Centre,Random,Central East Zone,Kasungu,PRIMARY,MWI,-13.294,33.5386083,1074.7,4.7,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,54716
MWI_000479,Martin M'bawa,Malawi,Kabudula Rural Hospital,Panel,Central West Zone,Lilongwe,SECONDARY,MWI,-13.819508,33.4483337,1171.7,4.5,OTHER (SPECIFY),Community hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,56683
MWI_001360,Wezzie chikoya,Malawi,St. Annes Hospital,Random,Central East Zone,Nkhotakota,SECONDARY,MWI,-12.9267228,34.2960573,508.4,4.9,COMPREHENSIVE HEALTH CENTRE/ POLY CLINIC,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,42436
MWI_000700,SNORRIA KUMPASA,Malawi,Lisungwi Community Hospital,Random,South West Zone,Neno,SECONDARY,MWI,-15.437804,34.7748175,352,5,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,14540
MWI_001081,Juvensio A Galagade,Malawi,Mwanza District Hospital,Panel,South West Zone,Mwanza,SECONDARY,MWI,-15.5908113,34.510153,688.9,4.8,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,86318
MWI_000794,Prince Kaude,Malawi,Makungwa,Random,South West Zone,Thyolo,PRIMARY,MWI,-15.9397584,35.0262958,1048.8,4.8,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,19978
MWI_001202,KENNEDY KACHINGWE,Malawi,Nkhotakota District Hospital,Random,Central East Zone,Nkhotakota,SECONDARY,MWI,-12.9242179,34.2784928,247.3,4.9,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,73989
MWI_000588,Wezzie chikoya,Malawi,Kasungu District Hospital,Panel,Central East Zone,Kasungu,SECONDARY,MWI,-13.0357932,33.4803124,1036,4.8,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,116900
MWI_001162,Edna Kapindula,Malawi,New state house Clinic,Random,Central West Zone,Lilongwe,PRIMARY,MWI,-13.9605192,33.8508358,1076.8,4.1,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,URBAN,OUTPATIENT ONLY,PRIMARY,6411
MWI_000019,Andrew Wavisanga Mvula,Malawi,Alinafe Community Hospital,Random,Central East Zone,Nkhotakota,SECONDARY,MWI,-13.387801,34.2430384,507.4,4.8,OTHER GENERAL HOSPITAL,,MISSION/FAITH-BASED,,RURAL,INPATIENT ONLY,PRIMARY,18422
MWI_001542,Vivian Kacheche,Malawi,Phalombe District Hospital,Random,South East Zone,Phalombe,SECONDARY,MWI,-15.7169988,35.704191,699.8,5,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9
MWI_000261,SNORRIA KUMPASA,Malawi,Chiradzulu District Hospital,Panel,South West Zone,Chiradzulu,SECONDARY,MWI,-15.7107365,35.1743814,1079.3,5,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,35034
MWI_001369,Prince Kaude,Malawi,St. Joseph Hospital (Chiradzulu),Random,South West Zone,Chiradzulu,SECONDARY,MWI,-15.8016183,35.1680317,1030.1,4.4,OTHER (SPECIFY),Mission Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,54172
