Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,Quality_Score,HW_Competence_Score,HW_Check,Patient_Centeredness_Score,PC_Check,iss_score,iss_check,HTM-ANC,htm-anc-check,system_CHW_score,chw_check,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CHW_scores,CLM_score,guideline_score,guideline_check,oxygen_score,oxygen_check,test-capac,test-capac_check,vacancy_score,all_funded_posts,all_unfilled_posts
MWI_000339,Diamphwe Health Centre,Central West Zone,Lilongwe,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,21703,58.19556025369979,54.18181818181818,"[70.0, 72.72727272727273, 60.0, 60.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0]",62.2093023255814,"[50, 50, 0, 50, 50, 0, 100, 100, 0, 100, 50, 0, 100, nan, 100, 100, 100, 0, 100, 50, 50, 100, 25, 100, 100, 100, 0, 75, 50, 25, 100, 0, 100, 100, 0, 0, 100, 100, 50, 100, nan, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",63.333333333333336,"[66.66666666666667, 50.0, 66.66666666666667, 66.66666666666667, 66.66666666666667]",60.0,"[75.0, 75.0, 75.0, 25.0, 50.0]",70.70175438596492,63.333333333333336,50.0,100.0,80.0,91.57894736842105,60.0,50.0,80.0,"[100, 100, 100, 0, 100]",83.33333333333334,100.0,"[100, 100, 100, 100, 100, 100, 100]",50.0,"[100, 0]",51.851851851851855,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 100, 100, 100]",21.428571428571427,56.0,12.0
MWI_000914,Mhuju Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9,68.75,50.0,"[60.0, 50.0, 50.0, 50.0, 40.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",87.5,"[100, 100, 100, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",66.66666666666667,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667]",60.0,"[100.0, 50.0, 50.0, 50.0, 50.0]",43.258145363408524,66.66666666666667,50.0,100.0,0.0,86.14035087719299,0.0,0.0,60.0,"[100, 100, 0, 100, 0]",83.33333333333334,85.71428571428571,"[100, 100, 100, 100, 0, 100, 100]",0.0,"[0, 0]",39.130434782608695,"[100, 100, 100, 0, nan, nan, 100, nan, 0, 0, 0, 100, 0, 0, 100, nan, 0, 0, 0, 100, 0, 0, 0, 100, 0, 100, 0]",,34.0,999.0
MWI_000795,Makwapala Health Centre,South East Zone,Zomba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,25000,49.44444444444444,46.666666666666664,"[40.0, 40.0, 60.0, 60.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 50.0]",52.22222222222222,"[100, 50, 50, 100, 50, 100, 0, 0, 0, 100, 100, 100, 25, 0, 100, 100, 100, 0, 75, 50, 25, 0, 100, 100, 0, 0, 0, 75, 50, 0, 50, 100, 100, 100, 100, 0, 50, 50, 0, 50, 0, 100, 100, 0, 0]",100.0,"[100, 100, 100, 100]",66.66666666666667,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667]",45.0,"[50.0, 50.0, 50.0, 25.0, 50.0]",79.28011204481793,66.66666666666667,100.0,100.0,0.0,88.29411764705883,100.0,100.0,40.0,"[0, 100, 0, 0, 100]",83.33333333333334,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,"[100, 100]",22.22222222222222,"[100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",12.222222222222221,90.0,11.0
MWI_001371,St. Lukes Mission Hospital,South East Zone,Zomba,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,90000,49.111111111111114,27.666666666666668,"[66.66666666666667, 40.0, 60.0, 60.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0]",70.55555555555556,"[100, 100, 75, 100, 50, 100, 0, 100, 0, 100, 100, 50, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 0]",75.0,"[0, 100, 100, 100]",63.333333333333336,"[50.0, 66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667]",65.0,"[75.0, 50.0, 75.0, 50.0, 75.0]",68.49537037037037,63.333333333333336,100.0,49.375,0.0,98.26388888888889,,100.0,80.0,"[100, 0, 100, 100, 100]",100.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",,"[nan, nan]",55.55555555555556,"[100, 0, 100, 0, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0]",19.875776397515526,161.0,32.0
MWI_000347,Domasi Rural Hospital,South East Zone,Zomba,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,31215,53.93939393939394,54.54545454545455,"[80.0, 80.0, 80.0, 80.0, 80.0, 0.0, 0.0, 50.0, 0.0, 50.0, 100.0]",53.333333333333336,"[50, 75, 50, 100, 25, 100, 0, 0, 0, 25, 50, 25, 75, 50, 100, 0, 0, 0, 100, 75, 50, 75, 50, 0, 0, 100, 0, 100, 75, 50, 75, 50, 100, 0, 100, 0, 75, 100, 50, 100, 50, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",66.66666666666667,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667]",70.0,"[50.0, 100.0, 50.0, 50.0, 100.0]",84.80725623582767,66.66666666666667,71.42857142857143,100.0,60.0,95.55555555555556,100.0,100.0,40.0,"[0, 100, 0, 0, 100]",100.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",50.0,"[0, 100]",18.51851851851852,"[0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",,119.0,999.0
MWI_000491,Kafere Health Centre,Central West Zone,Dedza,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,14322,53.27777777777778,31.0,"[60.0, 60.0, 70.0, 60.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0]",75.55555555555556,"[100, 100, 50, 100, 50, 100, 100, 100, 0, 100, 100, 75, 75, 50, 100, 100, 100, 0, 100, 50, 50, 75, 50, 100, 100, 100, 0, 100, 100, 75, 75, 50, 100, 100, 100, 0, 100, 50, 75, 100, 50, 100, 100, 100, 0]",75.0,"[0, 100, 100, 100]",66.66666666666667,"[66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667, 66.66666666666667]",85.0,"[75.0, 100.0, 100.0, 75.0, 75.0]",48.782888510316106,66.66666666666667,50.0,0.0,40.0,86.03066439522998,,50.0,100.0,"[100, 100, 100, 100, 100]",0.0,100.0,"[100, 100, nan, 100, 100, 100, 100]",,"[nan, nan]",27.272727272727273,"[100, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0]",25.0,24.0,6.0
MWI_000107,Bolero Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),Rural hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,48335,64.07407407407408,58.148148148148145,"[66.66666666666667, 44.44444444444444, 77.77777777777777, 77.77777777777777, 55.55555555555556, 0.0, 50.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0]",70.0,"[100, 25, 75, 100, 25, 100, 0, 0, 0, 100, 100, 25, 100, 50, 100, 100, 100, 0, 100, 100, 100, 100, 50, 100, 0, 100, 0, 100, 100, 100, 100, 75, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 0, 100, 0]",100.0,"[100, 100, 100, 100]",50.0,"[50.0, 50.0, 50.0, 50.0, 50.0]",50.0,"[75.0, 50.0, 50.0, 25.0]",71.66475681181564,50.0,50.0,100.0,40.0,94.98663101604278,100.0,66.66666666666667,75.0,"[100, 100, 100, 0]",83.33333333333334,71.42857142857143,"[100, 100, 100, 0, 0, 100, 100]",100.0,"[100, 100]",48.148148148148145,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",,74.0,999.0
MWI_001399,Tengani Health Centre,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,28135,73.77777777777777,65.33333333333333,"[40.0, 40.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0]",82.22222222222223,"[100, 100, 75, 100, 100, 100, 0, 100, 0, 100, 100, 50, 100, 100, 100, 100, 100, 0, 100, 50, 75, 100, 100, 100, 100, 100, 0, 100, 100, 75, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 75, 100, 100, 100, 0]",75.0,"[100, 0, 100, 100]",60.000000000000014,"[66.66666666666667, 33.333333333333336, 66.66666666666667, 66.66666666666667, 66.66666666666667]",75.0,"[75.0, 75.0, 50.0, 75.0, 100.0]",63.78771355870593,60.000000000000014,100.0,0.0,100.0,86.51399491094148,0.0,100.0,100.0,"[100, 100, 100, 100, 100]",83.33333333333334,100.0,"[100, 100, 100, 100, 100, 100, 100]",,"[nan, nan]",63.63636363636363,"[100, 100, 100, 0, 100, 0, 100, 100, 0, 0, 100]",10.416666666666668,48.0,5.0
MWI_001167,Ngabu Rural Hospital,South West Zone,Chikwawa,SECONDARY,OTHER (SPECIFY),Rural Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,89242,63.416666666666664,69.33333333333333,"[70.0, 70.0, 80.0, 60.0, 60.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, 50.0, 100.0]",57.5,"[50, 75, nan, nan, 0, 100, 100, 100, 0, 50, 75, 100, nan, 0, 0, 0, 100, 0, 0, 75, 75, 100, 0, 100, 100, 100, 0, 100, 100, 75, 100, 25, 100, 100, 100, 0, 100, 100, 0, nan, nan, 0, 0, 100, 0]",100.0,"[100, 100, 100, 100]",86.66666666666667,"[100.0, 100.0, 100.0, 66.66666666666667, 66.66666666666667]",75.0,"[75.0, 75.0, 75.0, 75.0, 75.0]",66.0392156862745,86.66666666666667,23.52941176470588,100.0,60.0,,60.0,,100.0,"[100, 100, 100, 100, 100]",33.33333333333333,100.0,"[100, 100, 100, 100, 100, 100, 100]",,"[nan, nan]",51.851851851851855,"[100, 100, 100, 0, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 0, 100, 0, 0, 0, 100, 100, 100, 0]",,999.0,999.0
MWI_000600,Katowo Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),RURAL HOSPITAL,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,16604,54.398148148148145,30.462962962962962,"[50.0, 55.55555555555556, 60.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0]",78.33333333333333,"[100, 100, 100, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 25, 0, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",75.0,"[0, 100, 100, 100]",63.333333333333336,"[66.66666666666667, 50.0, 66.66666666666667, 66.66666666666667, 66.66666666666667]",45.0,"[50.0, 50.0, 50.0, 25.0, 50.0]",62.85941352017647,63.333333333333336,100.0,47.5,40.0,99.1825613079019,50.0,40.0,20.0,"[0, 0, 100, 0, 0]",83.33333333333334,85.71428571428571,"[100, 100, 100, 100, 100, 100, 0]",50.0,"[0, 100]",38.46153846153846,"[100, 100, nan, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",21.666666666666668,60.0,13.0
