Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,iss_score,iss_check,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CHW_scores,CLM_score,guideline_score,guide_HIV,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,test-capac_check,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
MWI_001168,Ngabu Sda Health Centre,South West Zone,Chikwawa,PRIMARY,HEALTH CENTRE,,MISSION/FAITH-BASED,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,36554,100,0,100,100,100,59.5,39,"[80.0, 70.0, 80.0, 80.0, 80.0, 0.0, 0.0, 0.0, 0.0, 0.0]",78,0,,80,"[83.33333333333333, 75.0, 80.55555555555556, 91.66666666666667, 69.44444444444444]","[100, 100, 100, 100, 50, 100, 100, 100, 0, 100, 50, 75, 100, 50, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 100, 100, 100, 75, 100, 50, 100, 0, 100, 0]",75,"[100, 0, 100, 100]",100,0,100,100,60,100,100,80,0,65,"[75.0, 50.0, 75.0, 50.0, 75.0]",100,60,100,0,86.71985816,60,100,100,80,80.31914894,,100,100,"[100, 100, 100, 100, 100]",16.66666667,100,100,,100,100,100,100,,,,29.62962963,"[100, 100, 0, 0, 100, 0, 0, 100, 0, 0, 0, 0, 0, 100, 0, 100, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0]",29.62962963,,69.6969697,33,23
MWI_000339,Diamphwe Health Centre,Central West Zone,Lilongwe,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,21703,100,100,100,100,100,58.47979798,54.18181818,"[70.0, 72.72727272727273, 60.0, 60.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0]",62.54545455,0,100,62.77777778,"[44.44444444444444, 68.75, 69.44444444444444, 50.0, 81.25]","[50, 50, 0, 50, 50, 0, 100, 100, 0, 100, 50, 0, 100, nan, 100, 100, 100, 0, 100, 50, 50, 100, 25, 100, 100, 100, 0, 75, 50, 25, 100, 0, 100, 100, 0, 0, 100, 100, 50, 100, nan, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,63.33333333,100,0,100,0,40,"[50.0, 50.0, 75.0, 0.0, 25.0]",20,0,80,60,70.70175439,63.33333333,50,100,80,91.57894737,60,50,80,"[100, 100, 100, 0, 100]",83.33333333,100,100,100,100,100,100,100,50,100,0,51.85185185,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 100, 100, 100]",51.85185185,,21.42857143,56,12
MWI_000914,Mhuju Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9,100,100,100,100,100,68.75,50,"[60.0, 50.0, 50.0, 50.0, 40.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",50,50,50,87.5,"[86.11111111111111, 88.88888888888889]","[100, 100, 100, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,35,"[75.0, 25.0, 25.0, 25.0, 25.0]",20,20,60,40,43.25814536,66.66666667,50,100,0,86.14035088,0,0,60,"[100, 100, 0, 100, 0]",50,85.71428571,100,100,100,0,100,100,0,0,0,33.33333333,"[100, 100, 100, 0, 0, 0, 100, 0, 0, 0, 0, 100, 0, 0, 100, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 100, 0]",33.33333333,,,34,999
MWI_000795,Makwapala Health Centre,South East Zone,Zomba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,25000,100,100,100,100,100,49.44444444,46.66666667,"[40.0, 40.0, 60.0, 60.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 50.0]",50,0,90,52.22222222,"[50.0, 69.44444444444444, 38.888888888888886, 63.888888888888886, 38.888888888888886]","[100, 50, 50, 100, 50, 100, 0, 0, 0, 100, 100, 100, 25, 0, 100, 100, 100, 0, 75, 50, 25, 0, 100, 100, 0, 0, 0, 75, 50, 0, 50, 100, 100, 100, 100, 0, 50, 50, 0, 50, 0, 100, 100, 0, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,20,"[25.0, 25.0, 25.0, 0.0, 25.0]",0,0,40,40,79.28011204,66.66666667,100,100,0,88.29411765,100,100,40,"[0, 100, 0, 0, 100]",83.33333333,100,100,100,100,100,100,100,50,100,0,22.22222222,"[100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",22.22222222,,12.22222222,90,11
MWI_001371,St. Lukes Mission Hospital,South East Zone,Zomba,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,90000,100,100,100,100,100,52.65277778,27.66666667,"[66.66666666666667, 40.0, 60.0, 60.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0]",55.33333333,0,,77.63888889,"[69.44444444444444, 81.25, 75.0, 100.0, 62.5]","[100, 100, 75, 100, 50, 100, 0, 100, 0, 100, 100, 50, 100, 100, 100, 0, 100, nan, 100, 100, 100, 100, 0, 100, 0, 100, nan, 100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 100, 100, 0, 0, 0, 100, nan]",75,"[0, 100, 100, 100]",0,100,100,100,63.33333333,100,,100,0,60,"[75.0, 25.0, 75.0, 50.0, 75.0]",80,0,80,80,68.49537037,63.33333333,100,49.375,0,98.26388889,,100,80,"[100, 0, 100, 100, 100]",100,100,100,100,100,100,100,100,,,,55.55555556,"[100, 0, 100, 0, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0]",55.55555556,,19.8757764,161,32
MWI_000347,Domasi Rural Hospital,South East Zone,Zomba,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,31215,100,100,100,100,100,53.93939394,54.54545455,"[80.0, 80.0, 80.0, 80.0, 80.0, 0.0, 0.0, 50.0, 0.0, 50.0, 100.0]",80,20,100,53.33333333,"[44.44444444444444, 36.111111111111114, 50.0, 61.111111111111114, 75.0]","[50, 75, 50, 100, 25, 100, 0, 0, 0, 25, 50, 25, 75, 50, 100, 0, 0, 0, 100, 75, 50, 75, 50, 0, 0, 100, 0, 100, 75, 50, 75, 50, 100, 0, 100, 0, 75, 100, 50, 100, 50, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,60,"[50.0, 100.0, 50.0, 25.0, 75.0]",60,80,40,60,84.80725624,66.66666667,71.42857143,100,60,95.55555556,100,100,40,"[0, 100, 0, 0, 100]",100,100,100,100,100,100,100,100,50,0,100,18.51851852,"[0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",18.51851852,,,119,999
MWI_000491,Kafere Health Centre,Central West Zone,Dedza,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,14322,100,0,100,100,100,53.27777778,31,"[60.0, 60.0, 70.0, 60.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0]",62,0,,75.55555556,"[77.77777777777777, 77.77777777777777, 69.44444444444444, 77.77777777777777, 75.0]","[100, 100, 50, 100, 50, 100, 100, 100, 0, 100, 100, 75, 75, 50, 100, 100, 100, 0, 100, 50, 50, 75, 50, 100, 100, 100, 0, 100, 100, 75, 75, 50, 100, 100, 100, 0, 100, 50, 75, 100, 50, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,75,"[75.0, 75.0, 75.0, 75.0, 75.0]",100,0,100,100,48.78288851,66.66666667,50,0,40,86.0306644,,50,100,"[100, 100, 100, 100, 100]",0,100,100,,100,100,100,100,,,,27.27272727,"[100, 100, 0, 0, 100, 0, 0, 0, 0, 0, 0]",,27.27272727,25,24,6
MWI_000107,Bolero Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),Rural hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,48335,100,100,100,100,100,66.05324074,58.14814815,"[66.66666666666667, 44.44444444444444, 77.77777777777777, 77.77777777777777, 55.55555555555556, 0.0, 50.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0]",64.44444444,10,100,73.95833333,"[47.22222222222222, 75.0, 81.25, 96.875, 69.44444444444444]","[100, 25, 75, 100, 25, 100, 0, 0, 0, 100, 100, 25, 100, 50, 100, 100, 100, 0, 100, 100, 100, 100, 50, 100, 0, 100, nan, 100, 100, 100, 100, 75, 100, 100, 100, nan, 100, 100, 75, 100, 50, 100, 0, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,50,,,100,0,18.75,"[25.0, 25.0, 25.0, 0.0]",0,0,75,0,71.66475681,50,50,100,40,94.98663102,100,66.66666667,75,"[100, 100, 100, 0]",83.33333333,71.42857143,100,100,0,0,100,100,100,100,100,48.14814815,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",48.14814815,,,74,999
MWI_001399,Tengani Health Centre,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,28135,100,100,100,100,100,76,65.33333333,"[40.0, 40.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0]",46,50,100,86.66666667,"[75.0, 94.44444444444444, 80.55555555555556, 86.11111111111111, 97.22222222222223]","[100, 100, 75, 100, 100, 100, 0, 100, 0, 100, 100, 50, 100, 100, 100, 100, 100, 100, 100, 50, 75, 100, 100, 100, 100, 100, 0, 100, 100, 75, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 75, 100, 100, 100, 100]",75,"[100, 0, 100, 100]",100,0,100,100,60,100,,80,0,65,"[75.0, 75.0, 25.0, 50.0, 100.0]",60,40,100,60,63.78771356,60,100,0,100,86.51399491,0,100,100,"[100, 100, 100, 100, 100]",83.33333333,100,100,100,100,100,100,100,,,,63.63636364,"[100, 100, 100, 0, 100, 0, 100, 100, 0, 0, 100]",,63.63636364,10.41666667,48,5
MWI_001167,Ngabu Rural Hospital,South West Zone,Chikwawa,SECONDARY,OTHER (SPECIFY),Rural Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,89242,100,100,100,100,100,65.19742063,69.33333333,"[70.0, 70.0, 80.0, 60.0, 60.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, 50.0, 100.0]",68,60,80,61.06150794,"[60.714285714285715, 40.625, 72.22222222222223, 88.88888888888889, 42.857142857142854]","[50, 75, nan, nan, 0, 100, 100, 100, 0, 50, 75, 100, nan, 0, 0, 0, 100, 0, 0, 75, 75, 100, 0, 100, 100, 100, 100, 100, 100, 75, 100, 25, 100, 100, 100, 100, 100, 100, 0, nan, nan, 0, 0, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,86.66666667,100,,100,60,55,"[50.0, 75.0, 50.0, 50.0, 50.0]",20,100,100,0,66.03921569,86.66666667,23.52941176,100,60,,60,,100,"[100, 100, 100, 100, 100]",33.33333333,100,100,100,100,100,100,100,,,,51.85185185,"[100, 100, 100, 0, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 0, 100, 0, 0, 0, 100, 100, 100, 0]",51.85185185,,,999,999
MWI_000600,Katowo Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),RURAL HOSPITAL,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,16604,100,100,100,100,100,57.73148148,30.46296296,"[50.0, 55.55555555555556, 60.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0]",53.11111111,0,50,85,"[66.66666666666667, 88.88888888888889, 100.0, 69.44444444444444, 100.0]","[100, 100, 100, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, nan, 100, 100, 100, 100, 25, 0, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, nan]",75,"[0, 100, 100, 100]",0,100,100,100,63.33333333,100,,100,0,30,"[50.0, 50.0, 25.0, 0.0, 25.0]",60,20,20,20,62.85941352,63.33333333,100,47.5,40,99.18256131,50,40,20,"[0, 0, 100, 0, 0]",83.33333333,85.71428571,100,100,100,100,100,0,50,0,100,37.03703704,"[100, 100, 0, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",37.03703704,,21.66666667,60,13
