Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,Facility_Score,HW_Competence_Score,Patient_Centeredness_Score,iss_score,HTM-ANC,system_CHW_score,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CLM_score,guideline_score,oxygen_score,vacancy_score,all_funded_posts,all_unfilled_posts
MWI_000347,Domasi Rural Hospital,South East Zone,Zomba,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,31215,53.93939393939394,54.54545454545455,53.333333333333336,100.0,66.66666666666667,70.0,84.80725623582767,66.66666666666667,71.42857142857143,100.0,60.0,95.55555555555556,100.0,100.0,5.0,40.0,100.0,100.0,100.0,,119.0,999.0
MWI_000491,Kafere Health Centre,Central West Zone,Dedza,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,14322,53.27777777777778,31.0,75.55555555555556,75.0,66.66666666666667,85.0,48.782888510316106,66.66666666666667,50.0,0.0,40.0,86.03066439522998,,50.0,5.0,100.0,0.0,100.0,,75.0,24.0,6.0
MWI_000107,Bolero Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),Rural hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,48335,64.07407407407408,58.148148148148145,70.0,100.0,50.0,50.0,71.66475681181564,50.0,50.0,100.0,40.0,94.98663101604278,100.0,66.66666666666667,4.0,75.0,83.33333333333334,100.0,100.0,,74.0,999.0
MWI_001399,Tengani Health Centre,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,28135,73.77777777777777,65.33333333333333,82.22222222222223,75.0,60.000000000000014,75.0,63.78771355870593,60.000000000000014,100.0,0.0,100.0,86.51399491094148,0.0,100.0,5.0,100.0,83.33333333333334,100.0,,89.58333333333334,48.0,5.0
MWI_001167,Ngabu Rural Hospital,South West Zone,Chikwawa,SECONDARY,OTHER (SPECIFY),Rural Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,89242,63.416666666666664,69.33333333333333,57.5,100.0,86.66666666666667,75.0,66.0392156862745,86.66666666666667,23.52941176470588,100.0,60.0,,60.0,,5.0,100.0,33.33333333333333,100.0,,,999.0,999.0
MWI_000600,Katowo Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),RURAL HOSPITAL,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,16604,54.398148148148145,30.462962962962962,78.33333333333333,75.0,63.333333333333336,45.0,62.85941352017647,63.333333333333336,100.0,47.5,40.0,99.1825613079019,50.0,40.0,5.0,20.0,83.33333333333334,100.0,100.0,78.33333333333333,60.0,13.0
MWI_001149,Nayuchi Health Centre,South East Zone,Machinga,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,23893,78.05555555555556,80.0,76.11111111111111,100.0,66.66666666666667,85.0,83.55287124916116,66.66666666666667,100.0,100.0,40.0,94.65056082830026,100.0,,5.0,60.0,66.66666666666666,100.0,,85.71428571428572,70.0,10.0
MWI_000525,Kamsonga Health Centre,Central East Zone,Ntchisi,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,24176,43.207070707070706,23.636363636363637,62.77777777777778,100.0,66.66666666666667,40.0,72.36167341430499,66.66666666666667,100.0,100.0,40.0,99.86504723346829,0.0,100.0,5.0,0.0,100.0,100.0,,65.51724137931035,58.0,20.0
MWI_001302,Rumphi District Hospital,North Zone,Rumphi,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,39400,68.31818181818181,58.3030303030303,78.33333333333333,100.0,43.333333333333336,50.0,40.33725490196078,43.333333333333336,,,0.0,78.3529411764706,80.0,0.0,5.0,40.0,100.0,100.0,100.0,59.11885245901639,976.0,399.0
MWI_001197,Nkhoma Mission Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,75710,61.388888888888886,53.333333333333336,69.44444444444444,100.0,66.66666666666667,45.0,59.50533139464437,66.66666666666667,100.0,52.5,0.0,97.37065309584393,0.0,100.0,5.0,0.0,100.0,100.0,100.0,95.48872180451127,266.0,12.0
MWI_001366,St. Johns Hospital,North Zone,Mzimba,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,24450,51.73737373737374,32.36363636363636,71.11111111111111,100.0,43.333333333333336,55.0,54.42698100851343,43.333333333333336,,,60.0,88.8015717092338,80.0,0.0,5.0,20.0,50.0,100.0,100.0,49.350649350649356,77.0,39.0
MWI_000818,Malomo Health Centre,Central East Zone,Ntchisi,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,53042,53.89922480620155,47.333333333333336,60.46511627906977,50.0,66.66666666666667,50.0,87.5361663652803,66.66666666666667,66.66666666666666,100.0,80.0,99.41983122362869,100.0,100.0,5.0,60.0,83.33333333333334,100.0,100.0,,60.0,999.0
MWI_000194,Chikweo Health Centre,South East Zone,Machinga,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,110850,70.09722222222223,85.33333333333333,54.861111111111114,50.0,66.66666666666667,55.0,73.21294930185816,66.66666666666667,50.0,100.0,40.0,95.82397844634036,80.0,80.0,5.0,0.0,100.0,100.0,,82.25806451612902,62.0,11.0
MWI_001509,Zomba Central Hospital,South East Zone,Zomba,TERTIARY,CENTRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,5157,55.23232323232323,51.57575757575758,58.888888888888886,33.333333333333336,50.00000000000001,45.0,77.24259025143981,50.00000000000001,77.77777777777779,100.0,100.0,92.92035398230088,20.0,100.0,5.0,0.0,66.66666666666666,100.0,100.0,,999.0,999.0
MWI_001522,Osiyana,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,16371,61.22222222222222,43.0,79.44444444444444,75.0,66.66666666666667,70.0,83.63480779357558,66.66666666666667,100.0,100.0,40.0,95.14218009478674,,100.0,5.0,60.0,83.33333333333334,100.0,,52.63157894736843,57.0,27.0
MWI_001092,Mzambazi Community Hospital,North Zone,Mzimba,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,27176,61.27777777777778,42.0,80.55555555555556,100.0,66.66666666666667,56.25,65.11511921841908,66.66666666666667,50.0,100.0,40.0,99.13916786226686,100.0,0.0,4.0,0.0,100.0,100.0,100.0,67.44186046511628,129.0,42.0
MWI_001216,Nsanje District Hospital,South West Zone,Nsanje,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9,43.55555555555556,36.0,51.111111111111114,100.0,73.33333333333334,65.0,68.77572119393031,73.33333333333334,,,80.0,90.54527263631816,0.0,100.0,5.0,100.0,66.66666666666666,100.0,100.0,,999.0,999.0
MWI_001319,Sankhulani Health Centre,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21583,51.91025641025641,49.333333333333336,54.48717948717949,100.0,73.33333333333334,60.0,74.48462929475588,73.33333333333334,50.0,100.0,40.0,98.05907172995781,60.0,100.0,5.0,100.0,16.666666666666664,100.0,,,999.0,999.0
MWI_000383,Ekwendeni Mission Hospital,North Zone,Mzimba,SECONDARY,OTHER (SPECIFY),Community Hospital,MISSION/FAITH-BASED,,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,75000,61.388888888888886,43.333333333333336,79.44444444444444,100.0,66.66666666666667,75.0,72.34935680433311,66.66666666666667,100.0,28.333333333333336,80.0,96.44549763033176,60.0,75.0,5.0,100.0,100.0,100.0,100.0,,999.0,78.0
MWI_001349,Sr. Tereza Rural Hospital,Central West Zone,Ntcheu,SECONDARY,COMPREHENSIVE HEALTH CENTRE/ POLY CLINIC,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,6234,82.22222222222223,86.66666666666667,77.77777777777777,66.66666666666667,66.66666666666667,70.0,92.0923520923521,66.66666666666667,100.0,100.0,100.0,97.97979797979798,80.0,100.0,5.0,20.0,83.33333333333334,100.0,100.0,78.68852459016394,61.0,13.0
MWI_000053,Balaka District Hospital,South East Zone,Balaka,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,580000,54.16666666666667,53.333333333333336,55.0,100.0,66.66666666666667,60.0,64.1837999662675,66.66666666666667,93.33333333333333,31.71428571428571,20.0,97.57231404958677,40.0,100.0,5.0,100.0,100.0,100.0,100.0,,999.0,999.0
MWI_000752,Machinga District Hospital,South East Zone,Machinga,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,64428,60.792929292929294,61.03030303030303,60.55555555555556,100.0,63.333333333333336,65.0,63.86165277911251,63.333333333333336,86.48648648648648,46.875,0.0,90.33674963396778,60.0,100.0,5.0,100.0,83.33333333333334,100.0,100.0,,999.0,999.0
MWI_000360,Dwambazi Rural Hospital,Central East Zone,Nkhotakota,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,21950,53.16666666666667,34.666666666666664,71.66666666666667,100.0,66.66666666666667,60.0,76.28229767243222,66.66666666666667,50.0,100.0,80.0,97.30941704035875,100.0,40.0,5.0,20.0,50.0,100.0,100.0,56.25,80.0,35.0
MWI_000898,Mchinji District Hospital,Central West Zone,Mchinji,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,65973,53.611111111111114,60.0,47.22222222222222,100.0,66.66666666666667,45.0,79.27490039840637,66.66666666666667,,,60.0,89.70783532536521,80.0,100.0,5.0,20.0,66.66666666666666,100.0,100.0,,999.0,999.0
MWI_000334,Dedza District Hospital,Central West Zone,Dedza,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,31643,62.52272727272727,58.0,67.04545454545455,100.0,66.66666666666667,35.0,71.98278181329029,66.66666666666667,80.0,100.0,40.0,77.21280602636536,40.0,100.0,5.0,40.0,66.66666666666666,100.0,100.0,,999.0,999.0
MWI_001030,Mtendere Health Centre,Central West Zone,Dedza,SECONDARY,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,82298,60.22222222222222,56.0,64.44444444444444,100.0,66.66666666666667,45.0,84.10673608851286,66.66666666666667,100.0,43.33333333333333,80.0,98.74715261958997,100.0,100.0,5.0,0.0,100.0,100.0,0.0,69.31818181818181,88.0,27.0
MWI_000770,Madziabango Health Centre,South West Zone,Blantyre,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,13006,68.80341880341881,65.38461538461539,72.22222222222223,100.0,66.66666666666667,90.0,91.78845731841125,66.66666666666667,100.0,100.0,80.0,95.85253456221197,100.0,100.0,5.0,100.0,16.666666666666664,100.0,,63.76811594202898,69.0,25.0
MWI_000714,Lugola Health Centre,South East Zone,Mangochi,PRIMARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,22152,51.32323232323232,50.42424242424242,52.22222222222222,66.66666666666667,58.333333333333336,50.0,61.986244110047124,58.333333333333336,100.0,70.0,40.0,83.58413132694939,20.0,,5.0,0.0,50.0,100.0,,15.909090909090907,44.0,37.0
MWI_000184,Chikangawa Health Centre,North Zone,Mzimba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9941,57.27777777777777,40.666666666666664,73.88888888888889,75.0,66.66666666666667,60.0,66.57142857142857,66.66666666666667,100.0,0.0,100.0,99.33333333333333,0.0,100.0,5.0,100.0,100.0,100.0,100.0,,28.0,999.0
MWI_001193,Nkhata Bay District Hospital,North Zone,Nkhata Bay,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,54000,59.505050505050505,43.45454545454545,75.55555555555556,100.0,68.33333333333334,75.0,88.982619484224,68.33333333333334,100.0,80.15625,100.0,74.38875305623472,100.0,100.0,5.0,100.0,100.0,100.0,100.0,84.0,200.0,32.0
MWI_001374,St. Martins Mission Hospital,South East Zone,Mangochi,SECONDARY,OTHER (SPECIFY),Community Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,43170,58.16666666666667,51.333333333333336,65.0,100.0,66.66666666666667,65.0,66.78408844569694,66.66666666666667,60.0,88.33333333333334,0.0,92.4886191198786,60.0,100.0,5.0,60.0,100.0,100.0,,52.38095238095239,105.0,50.0
MWI_000834,Manyamula Health Centre,North Zone,Mzimba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,32285,55.43434343434343,29.757575757575758,81.11111111111111,100.0,50.0,45.0,42.919416648924845,50.0,18.181818181818183,37.5,0.0,94.75409836065573,100.0,0.0,5.0,20.0,50.0,100.0,,55.55555555555556,9.0,4.0
MWI_000829,Mangochi District Hospital,South East Zone,Mangochi,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,102734,54.772727272727266,54.54545454545454,55.0,100.0,50.0,95.0,64.32279906803613,50.0,84.7457627118644,0.0,80.0,91.19103169635237,80.0,,5.0,80.0,100.0,100.0,100.0,,999.0,999.0
MWI_001095,Mzimba District Hospital,North Zone,Mzimba,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,117360,57.8219696969697,36.666666666666664,78.97727272727273,75.0,66.66666666666667,75.0,55.40452608775591,66.66666666666667,86.95652173913044,0.0,60.0,94.20849420849422,80.0,0.0,5.0,80.0,66.66666666666666,100.0,100.0,,999.0,999.0
MWI_000637,Kochilira Rural Hospital,Central West Zone,Mchinji,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,37238,41.66666666666667,30.0,53.333333333333336,25.0,66.66666666666667,50.0,63.898774219058915,66.66666666666667,100.0,0.0,20.0,96.72597864768683,100.0,,5.0,20.0,100.0,100.0,,86.48648648648648,74.0,10.0
MWI_000982,Monkeybay Community Hospital,South East Zone,Mangochi,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,57667,72.43395493395494,80.97902097902099,63.888888888888886,100.0,53.333333333333336,70.0,87.17692914939808,53.333333333333336,100.0,72.33333333333333,100.0,97.39490822972174,100.0,,5.0,20.0,100.0,100.0,100.0,35.831381733021075,427.0,274.0
MWI_001376,St. Michael-Guillime,Central West Zone,Mchinji,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,19471,56.07142857142857,38.25396825396825,73.88888888888889,100.0,63.333333333333336,25.0,42.60926288323549,63.333333333333336,40.0,0.0,0.0,94.93150684931507,0.0,100.0,5.0,0.0,0.0,100.0,,49.6124031007752,129.0,65.0
MWI_000711,St. Joseph Hospital (Mchinji),Central West Zone,Mchinji,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,25304,55.27777777777778,45.0,65.55555555555556,100.0,60.0,25.0,73.3356449375867,60.0,100.0,100.0,40.0,88.3495145631068,25.0,100.0,5.0,0.0,16.666666666666664,100.0,,,999.0,999.0
MWI_000945,Mitundu Community Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,227000,49.833333333333336,41.333333333333336,58.333333333333336,100.0,66.66666666666667,45.0,85.73826036965004,66.66666666666667,100.0,100.0,40.0,93.50115592088363,100.0,100.0,5.0,0.0,100.0,100.0,100.0,61.0,300.0,117.0
MWI_000962,Mlambe Mission Hospital,South West Zone,Blantyre,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,112000,60.38617886178862,43.333333333333336,77.4390243902439,50.0,66.66666666666667,60.0,64.67014568384431,66.66666666666667,55.55555555555556,20.666666666666668,80.0,89.80213089802132,40.0,100.0,5.0,100.0,100.0,100.0,,90.47619047619048,84.0,8.0
MWI_000388,Embangweni Mission Hospital,North Zone,Mzimba,SECONDARY,OTHER GENERAL HOSPITAL,,MISSION/FAITH-BASED,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,70000,56.81818181818181,33.63636363636363,80.0,100.0,66.66666666666667,25.0,75.94881665240948,66.66666666666667,50.0,31.666666666666664,100.0,83.30838323353294,100.0,100.0,1.0,0.0,100.0,100.0,100.0,73.33333333333334,225.0,60.0
MWI_000011,Lilongwe Adventist Hospital,Central West Zone,Lilongwe,PRIMARY,SPECIALTY HOSPITAL,,MISSION/FAITH-BASED,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,1100,75.83333333333334,81.11111111111111,70.55555555555556,33.333333333333336,53.333333333333336,75.0,76.64646464646465,53.333333333333336,100.0,52.0,80.0,74.54545454545455,,100.0,1.0,100.0,16.666666666666664,100.0,100.0,98.30508474576271,59.0,1.0
MWI_001362,St. Gabriel Mission Hospital,Central West Zone,Lilongwe,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,15559,69.01291989664082,62.44444444444445,75.5813953488372,75.0,66.66666666666667,45.0,58.96858743497399,66.66666666666667,76.47058823529412,0.0,80.0,89.64285714285715,100.0,0.0,5.0,0.0,66.66666666666666,100.0,100.0,,999.0,54.0
MWI_001504,Zingwangwa Health Centre,South West Zone,Blantyre,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,OUTPATIENT ONLY,PRIMARY,67505,71.05555555555554,69.33333333333333,72.77777777777777,100.0,60.000000000000014,90.0,88.32766238383017,60.000000000000014,100.0,100.0,60.0,98.29363668681124,100.0,100.0,5.0,100.0,100.0,100.0,100.0,85.18518518518519,108.0,16.0
MWI_001036,Mtimabi Health Centre,South East Zone,Mangochi,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,42000,47.42424242424243,28.181818181818183,66.66666666666667,75.0,66.66666666666667,70.0,58.83881599797173,66.66666666666667,0.0,,0.0,86.36622932116373,100.0,100.0,5.0,80.0,100.0,100.0,,46.15384615384615,78.0,42.0
MWI_000596,Katete Community Hospital,North Zone,Mzimba,SECONDARY,OTHER (SPECIFY),Community Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,14643,66.46825396825398,49.04761904761905,83.88888888888889,100.0,46.66666666666667,75.0,48.87100380058127,46.66666666666667,77.77777777777779,100.0,20.0,97.65258215962442,0.0,0.0,1.0,100.0,83.33333333333334,100.0,,68.96551724137932,29.0,9.0
