Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,Patient_Centeredness_Score,PC_Check,iss_score,iss_check,fac_iss,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CHW_scores,CLM_score,guideline_score,guide_HIV,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,test-capac_check,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
UGA_009159,Luwero Hospital,North Central,Luwero District,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,53333,100,100,100,100,100,59.5,47.333333333333336,"[60.0, 70.0, 60.0, 60.0, 60.0, 50.0, 50.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",71.66666666666667,"[100, 100, 100, 100, 25, 100, 0, 100, 0, 50, 75, 75, 100, 100, 100, 0, 100, 0, 100, 100, 75, 50, 25, 100, 100, 100, 0, 100, 100, 100, 100, 75, 100, 100, 100, 0, 100, 100, 50, 100, 25, 100, 0, 100, 0]",75.0,"[0, 100, 100, 100]",0.0,100.0,100.0,100.0,46.66666666666667,100.0,,40.0,0.0,0.0,[0.0],0.0,0.0,0.0,0.0,86.24007863373879,46.66666666666667,,,80.0,104.53372650202728,100.0,100.0,0.0,[0],66.66666666666666,85.71428571428571,100.0,100.0,100.0,100.0,100.0,0.0,50.0,0.0,100.0,59.25925925925926,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 0, 100, 0, 0, 0, 100, 100, 100, 100]",59.25925925925926,,76.84210526315789,190.0,146.0
UGA_002958,Katakwi Hospital,Teso,Katakwi District,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,32150,100,100,100,100,100,87.22222222222223,96.66666666666667,"[100.0, 100.0, 100.0, 100.0, 100.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",77.77777777777777,"[100, 100, 0, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,"[25.0, 25.0, 25.0]",100.0,0.0,0.0,0.0,99.27692307692307,100.0,,,100.0,96.38461538461539,100.0,100.0,0.0,"[0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,48.148148148148145,"[100, 100, 100, 0, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",48.148148148148145,,,999.0,999.0
UGA_009223,Gombe Hospital,South Central,Butambala District,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,15100,100,100,100,100,100,91.06060606060606,98.78787878787878,"[81.81818181818181, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",83.33333333333333,"[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 50, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,80.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,62.84046987495263,95.0,100.0,33.0,40.0,71.88328912466844,0.0,100.0,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,0.0,62.96296296296296,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 100, 100]",62.96296296296296,,51.41843971631206,282.0,145.0
UGA_004697,Mubende Regional Referral Hospital,North Central,Mubende District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,2002260,100,100,100,100,100,54.82429990966577,43.18518518518519,"[77.77777777777777, 80.0, 80.0, 80.0, 80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0]",66.46341463414635,"[100, 75, 25, 100, 75, 100, 100, 100, 0, 100, 75, 0, nan, 100, 100, 100, 100, 0, 75, 50, 50, nan, 100, 100, 100, 100, 0, 75, 25, 25, nan, 100, 100, 0, 0, 0, 75, 75, 50, nan, 75, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,63.333333333333336,100.0,,100.0,0.0,70.0,"[75.0, 50.0, 75.0, 75.0, 75.0]",100.0,0.0,100.0,80.0,53.426791277258566,63.333333333333336,,,40.0,110.37383177570092,0.0,,100.0,"[100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.77777777777777,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 0, 100, 0]",77.77777777777777,,69.6078431372549,918.0,639.0
UGA_002283,Itojo Hospital,Ankole,Ntungamo District,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,TERTIARY,550500,100,100,100,100,100,84.66666666666666,99.33333333333333,"[100.0, 100.0, 100.0, 90.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",70.0,"[100, 100, 100, 50, 100, 100, 100, 100, 0, 50, 75, 100, 50, 75, 100, 100, 100, 0, 50, 50, 75, 50, 75, 100, 100, 0, 0, 100, 75, 75, 75, 75, 100, 100, 0, 0, 100, 75, 50, 75, 50, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12.5,"[25.0, 0.0]",50.0,0.0,0.0,0.0,70.29475133161769,100.0,100.0,10.714285714285714,60.0,41.34897360703812,80.0,100.0,0.0,"[0, 0]",100.0,85.71428571428571,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,51.851851851851855,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 0, 100, 0, 0, 0, 100, 100, 0, 0]",51.851851851851855,,77.36842105263158,190.0,147.0
UGA_004136,Lyantonde Hospital,South Central,Lyantonde District,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,150000,100,100,100,100,100,90.27777777777777,96.66666666666667,"[90.0, 90.0, 90.0, 90.0, 90.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",83.88888888888889,"[100, 100, 50, 100, 75, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 75, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,[0.0],0.0,0.0,0.0,0.0,83.82608695652173,100.0,,,80.0,72.46376811594203,100.0,66.66666666666667,0.0,[0],83.33333333333334,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.25925925925926,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 100, 0]",59.25925925925926,,17.784256559766764,343.0,61.0
UGA_001004,Bunoga HC III,Tooro,Kamwenge District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,11223,100,100,100,100,100,91.27777777777777,98.66666666666667,"[100.0, 90.0, 100.0, 90.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",83.88888888888889,"[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 75, 100, 100, 100, 100, 100, 0, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,25.0,[25.0],100.0,0.0,0.0,0.0,82.39777126320142,100.0,42.857142857142854,40.83333333333333,100.0,93.0939226519337,100.0,100.0,0.0,[0],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,62.96296296296296,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 100, 100]",62.96296296296296,,38.095238095238095,21.0,8.0
UGA_005073,Nakasongola HC IV,North Central,Nakasongola District,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH (GOVERNMENT),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,68.11111111111111,57.333333333333336,"[70.0, 60.0, 70.0, 80.0, 80.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",78.88888888888889,"[100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 50, 100, 100, 0, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",75.0,"[0, 100, 100, 100]",0.0,100.0,100.0,100.0,53.333333333333336,100.0,,60.0,0.0,12.5,"[25.0, 0.0]",50.0,0.0,0.0,0.0,73.86581286858551,53.333333333333336,100.0,6.5,60.0,97.22735674676525,100.0,100.0,0.0,"[0, 0]",100.0,85.71428571428571,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,59.25925925925926,"[100, 100, 100, 0, 100, 0, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 100, 0, 100, 0, 0, 0, 0, 100, 100, 100, 0]",59.25925925925926,,,64.0,999.0
UGA_001673,Epi-Centre Senge HC III,South Central,Butambala District,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,4000,100,100,100,100,100,77.0615243342516,71.90082644628099,"[90.9090909090909, 100.0, 100.0, 100.0, 100.0, 50.0, 50.0, 0.0, 50.0, 50.0, 100.0]",82.22222222222223,"[100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,90.30888030888032,100.0,50.0,100.0,80.0,102.16216216216216,100.0,100.0,0.0,"[0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,48.148148148148145,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 100, 100, 100, 100]",48.148148148148145,,63.1578947368421,19.0,12.0
UGA_004445,Mbulamuti HC III,Busoga,Kamuli District,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,360,100,100,100,100,100,67.58712121212122,57.333333333333336,"[70.0, 70.0, 70.0, 70.0, 80.0, 50.0, 0.0, 0.0, 0.0, 0.0, 50.0, 100.0, 100.0, 100.0, 100.0]",77.8409090909091,"[100, 100, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 100, nan, 100, 100, 100, 0, 0, 100, 100, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 50, 100, 100, 100, 100, 100, 0]",75.0,"[100, 100, 0, 100]",100.0,100.0,0.0,100.0,66.66666666666667,100.0,,100.0,0.0,18.75,"[25.0, 25.0, 25.0, 0.0]",50.0,0.0,0.0,25.0,72.41695303550974,66.66666666666667,50.0,100.0,40.0,77.83505154639175,100.0,,0.0,"[0, 0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,0.0,29.62962962962963,"[100, 100, 0, 0, 100, 100, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0]",29.62962962962963,,9.090909090909092,22.0,2.0
UGA_000099,Adjumani Hospital,West Nile,Adjumani District,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH (GOVERNMENT),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,477787,100,100,100,100,100,72.5,73.33333333333333,"[80.0, 80.0, 80.0, 80.0, 80.0, 50.0, 50.0, 50.0, 0.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0]",71.66666666666667,"[75, 75, 75, 75, 50, 100, 100, 100, 0, 75, 75, 75, 75, 50, 100, 100, 100, 0, 75, 75, 50, 75, 50, 100, 100, 100, 0, 75, 75, 50, 75, 75, 100, 100, 100, 0, 75, 75, 75, 75, 50, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,50.0,"[50.0, 50.0]",100.0,0.0,100.0,0.0,63.55284617318965,66.66666666666667,91.57894736842105,6.925287356321839,60.0,99.69902182091799,20.0,100.0,100.0,"[100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,70.37037037037037,"[100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 0, 100, 0, 0, 0, 0, 100, 100, 100, 100]",70.37037037037037,,8.421052631578947,190.0,16.0
