Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_dropout,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CHW_scores,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts,doctor_posts,doctor_vacancies,nurses_posts,nurses_vacancies,lab-tech_posts,lab-tech_vacancies,pharmacists_posts,pharmacists_vacancies,CHW_posts,CHW_vacancies
TZA_007785,SINGISA,Morogoro Region,Morogoro District,PRIMARY,CLINIC/DISPENSARY,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,4500,100,0,100,100,100,67.11111111111111,62.0,"[np.float64(60.0), np.float64(50.0), np.float64(70.0), np.float64(60.0), np.float64(70.0)]",62.0,,,72.22222222222223,"[np.float64(nan), np.float64(72.22222222222223), np.float64(nan), np.float64(nan), np.float64(nan)]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 100, 100, 75, 75, 100, 100, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,100.0,75.0,75.0,100.0,100.0,0.0,100.0,0.0,0.0,[],0.0,,,,,53.333333333333336,80.0,,80.0,0.0,25.0,1,[np.float64(25.0)],100.0,0.0,0.0,0.0,0.0,61.66666666666667,53.333333333333336,50.0,75.0,40.0,90.0,,,1,0.0,[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0,,,100.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,63.63636363636363,11.0,7.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0
TZA_010204,BURHANI CHARITABLE,Dar es Salaam Region,Ilala District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,NGO/NOT-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,0,100,63.61111111111111,50.0,"[np.float64(50.0), np.float64(50.0), np.float64(50.0)]",,,50.0,77.22222222222221,"[np.float64(88.88888888888889), np.float64(41.666666666666664), np.float64(88.88888888888889), np.float64(77.77777777777777), np.float64(88.88888888888889)]","[100, 100, 100, 100, 0, 100, 100, 100, 100, 25, 100, 100, 50, 0, 100, 0, 0, 0, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100]",85.0,100.0,80.0,90.0,20.0,100.0,60.0,80.0,80.0,100.0,"[100, nan, nan, nan]",100.0,100.0,,,,,,,,,,0,[],,,,,,98.33333333333334,,,,,96.66666666666667,100.0,,0,,[],16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,60.0,100.0,,0.0,100.0,,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.96296296296296,100.0,0.0,0.0,62.96296296296296,,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,,89.21282798833819,343.0,306.0,24.0,8.0,185.0,171.0,6.0,0.0,4.0,2.0,0.0,0.0
TZA_010230,BUKOBA,Kagera Region,Bukoba District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,2997896,100,100,100,100,100,91.66666666666666,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,100.0,83.33333333333333,"[np.float64(80.55555555555556), np.float64(86.11111111111111), np.float64(83.33333333333333), np.float64(nan), np.float64(nan)]","[100, 75, 75, 100, 75, 100, 100, 100, 0, 100, 75, 100, 100, 100, 100, 100, 100, 0, 75, 100, 100, 100, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",91.66666666666667,83.33333333333333,91.66666666666667,100.0,83.33333333333333,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,2,"[np.float64(25.0), np.float64(25.0)]",100.0,0.0,0.0,0.0,0.0,72.45614035087719,100.0,66.66666666666666,35.526315789473685,20.0,85.0,100.0,100.0,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666667,100.0,0.0,0.0,66.66666666666667,,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,,37.06293706293706,286.0,106.0,10.0,0.0,20.0,18.0,9.0,4.0,10.0,5.0,6.0,3.0
TZA_007413,RUHUNGA,Kagera Region,Bukoba District,PRIMARY,CLINIC/DISPENSARY,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,8837,100,0,100,100,100,88.88888888888889,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,,77.77777777777777,"[np.float64(72.22222222222223), np.float64(83.33333333333333), np.float64(nan), np.float64(nan), np.float64(nan)]","[100, 75, 25, 100, 50, 100, 100, 100, 0, 100, 100, 75, 100, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100.0,87.5,50.0,100.0,62.5,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,12.5,2,"[np.float64(0.0), np.float64(25.0)]",50.0,0.0,0.0,0.0,0.0,84.5,100.0,100.0,22.5,,100.0,,100.0,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,18.181818181818183,0.0,100.0,0.0,,18.181818181818183,100.0,0.0,0.0,0.0,0.0,,,,100.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,50.0,12.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0
TZA_007195,OMURUSIMBI,Kagera Region,Karagwe District,PRIMARY,CLINIC/DISPENSARY,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,3431,100,0,100,100,100,93.75,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,,87.5,"[np.float64(86.11111111111111), np.float64(88.88888888888889), np.float64(nan), np.float64(nan), np.float64(nan)]","[75, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",87.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,25.0,1,[np.float64(25.0)],100.0,0.0,0.0,0.0,0.0,72.43055555555556,100.0,80.0,21.25,33.333333333333336,100.0,,100.0,1,0.0,[0],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,11.11111111111111,100.0,0.0,0.0,11.11111111111111,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,63.63636363636363,11.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0
TZA_007690,SHANGA,Kagera Region,Ngara District,PRIMARY,CLINIC/DISPENSARY,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,5409,100,0,100,100,100,91.66666666666666,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,,83.33333333333333,"[np.float64(80.55555555555556), np.float64(88.88888888888889), np.float64(80.55555555555556), np.float64(nan), np.float64(nan)]","[75, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 75, 75, 100, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",91.66666666666667,91.66666666666667,83.33333333333333,100.0,83.33333333333333,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,25.0,2,"[np.float64(25.0), np.float64(25.0)]",100.0,0.0,0.0,0.0,0.0,77.08333333333333,100.0,100.0,22.5,40.0,100.0,,100.0,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,14.814814814814815,100.0,0.0,0.0,14.814814814814815,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
TZA_007463,RWABWERE,Kagera Region,Kyerwa District,PRIMARY,CLINIC/DISPENSARY,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,5120,100,0,100,100,100,100.0,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,,,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,25.0,1,[np.float64(25.0)],100.0,0.0,0.0,0.0,0.0,66.97545846817691,100.0,40.0,22.5,40.0,99.35275080906149,,100.0,1,0.0,[0],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,18.51851851851852,100.0,0.0,0.0,18.51851851851852,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,60.0,15.0,9.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,5.0
TZA_010255,TUMBI,Pwani Region,Kibaha District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,400,100,100,100,100,100,83.40740740740742,95.70370370370371,"[np.float64(88.88888888888889), np.float64(88.88888888888889), np.float64(80.0), np.float64(88.88888888888889), np.float64(88.88888888888889), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",87.11111111111111,100.0,100.0,71.11111111111111,"[np.float64(88.88888888888889), np.float64(77.77777777777777), np.float64(80.55555555555556), np.float64(47.22222222222222), np.float64(61.111111111111114)]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 50, 75, 75, 100, 100, 100, 100, 100, 0, 50, 75, 100, 100, 100, 100, 100, 100, 0, 50, 50, 75, 50, 100, 0, 0, 100, 0, 50, 50, 50, 50, 50, 100, 100, 100, 0]",60.0,70.0,80.0,80.0,90.0,80.0,80.0,100.0,0.0,0.0,[],0.0,,,,,93.33333333333334,,0.0,100.0,100.0,37.5,2,"[np.float64(25.0), np.float64(50.0)]",100.0,0.0,100.0,50.0,0.0,97.77777777777779,93.33333333333334,,,100.0,,100.0,,2,50.0,"[0, 100]",83.33333333333333,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.07407407407408,100.0,0.0,0.0,74.07407407407408,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,,,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
TZA_010271,CHATO,Geita Region,Chato District,TERTIARY,OTHER (SPECIFY),Zonal Referral Hospital,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,584963,100,100,100,100,0,92.67361111111111,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,100.0,85.34722222222223,"[np.float64(78.125), np.float64(77.77777777777777), np.float64(87.5), np.float64(86.11111111111111), np.float64(97.22222222222223)]","[100, 75, 75, 100, 75, 100, 100, 0, nan, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100, 100, 100, 100, 0, nan, 75, 75, 50, 100, 75, 100, 100, 100, 100, 100, 100, 75, 100, 100, 100, 100, 100, 100]",95.0,90.0,80.0,100.0,90.0,100.0,100.0,40.0,66.66666666666667,66.66666666666667,"[100, 100, 0, nan]",100.0,100.0,100.0,0.0,,100.0,100.0,,100.0,100.0,,0,[],,,,,,75.0,100.0,,,0.0,,100.0,100.0,0,,[],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.96296296296296,100.0,0.0,0.0,62.96296296296296,,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,64.875,800.0,519.0,56.0,44.0,351.0,99.0,38.0,30.0,12.0,9.0,999.0,20.0
TZA_010232,GEITA,Geita Region,Geita District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,2000000,100,100,100,0,0,81.94444444444444,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",,100.0,100.0,63.88888888888889,"[np.float64(75.0), np.float64(52.77777777777778), np.float64(63.888888888888886), np.float64(66.66666666666667), np.float64(61.111111111111114)]","[100, 100, 75, 100, 100, 100, 100, 0, 0, 50, 100, 75, 100, 50, 100, 0, 0, 0, 50, 50, 25, 100, 50, 100, 100, 100, 0, 50, 100, 50, 50, 50, 100, 100, 100, 0, 50, 50, 50, 50, 50, 100, 100, 100, 0]",60.0,80.0,55.0,80.0,60.0,100.0,80.0,60.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,,,,,,25.0,2,"[np.float64(25.0), np.float64(25.0)]",50.0,0.0,0.0,0.0,50.0,100.0,,,,,,100.0,,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.37037037037037,100.0,0.0,0.0,70.37037037037037,,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,,41.72767203513909,683.0,285.0,73.0,26.0,305.0,118.0,30.0,4.0,29.0,18.0,4.0,999.0
TZA_009162,KINAMPANDA (Iramba District),Singida Region,Iramba District,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,11699,100,100,100,100,100,69.7635445362718,50.08264462809917,"[np.float64(90.9090909090909), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(90.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(100.0)]",90.18181818181817,0.0,100.0,89.44444444444443,"[np.float64(100.0), np.float64(80.55555555555556), np.float64(80.55555555555556), np.float64(86.11111111111111), np.float64(100.0)]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 25, 100, 0, 100, 100, 100, 100, 100, 100, 25, 100, 0, 100, 100, 100, 100, 100, 100, 75, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,65.0,100.0,40.0,100.0,100.0,75.0,"[0, 100, 100, 100]",100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,2,"[np.float64(0.0), np.float64(0.0)]",0.0,0.0,0.0,0.0,0.0,82.76190476190477,100.0,83.33333333333334,16.0,80.0,100.0,100.0,100.0,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71428571428571,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.44444444444444,100.0,0.0,0.0,44.44444444444444,,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,80.76923076923077,52.0,42.0,10.0,8.0,12.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0
TZA_010202,ARUSHA LUTHERAN CENTER,Arusha Region,Arusha District,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MISSION/FAITH-BASED,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,1826288,100,100,100,100,100,84.28787878787878,93.57575757575756,"[np.float64(80.0), np.float64(81.81818181818181), np.float64(81.81818181818181), np.float64(80.0), np.float64(80.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",80.72727272727272,100.0,100.0,75.0,"[np.float64(77.77777777777777), np.float64(69.44444444444444), np.float64(77.77777777777777), np.float64(77.77777777777777), np.float64(72.22222222222223)]","[100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 75, 75, 75, 100, 100, 0, 0, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 100, 75, 75, 100, 100, 0, 0]",100.0,100.0,95.0,90.0,90.0,100.0,100.0,0.0,0.0,75.0,"[100, 100, 0, 100]",100.0,100.0,100.0,0.0,100.0,70.00000000000001,100.0,100.0,0.0,100.0,10.0,5,"[np.float64(0.0), np.float64(0.0), np.float64(25.0), np.float64(0.0), np.float64(25.0)]",40.0,0.0,0.0,0.0,0.0,65.48091603053436,70.00000000000001,,,0.0,77.40458015267176,100.0,80.0,5,0.0,"[0, 0, 0, 0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.37037037037037,100.0,0.0,0.0,70.37037037037037,,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,46.935483870967744,620.0,291.0,68.0,29.0,360.0,134.0,6.0,4.0,6.0,3.0,0.0,0.0
TZA_009644,OLDONYO SAMBU,Arusha Region,Arusha District,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,7956,100,100,100,100,100,90.0,100.0,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",100.0,100.0,100.0,80.0,"[np.float64(75.0), np.float64(88.88888888888889), np.float64(77.77777777777777), np.float64(80.55555555555556), np.float64(77.77777777777777)]","[75, 75, 75, 75, 75, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 75, 75, 100, 75, 75, 100, 100, 100, 0, 75, 100, 75, 100, 75, 100, 100, 100, 0, 75, 75, 100, 75, 75, 100, 100, 100, 0]",80.0,85.0,90.0,85.0,80.0,100.0,100.0,100.0,0.0,100.0,"[100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,2,"[np.float64(25.0), np.float64(25.0)]",100.0,0.0,0.0,0.0,0.0,67.44952044422008,100.0,40.0,32.5,0.0,99.64664310954063,100.0,100.0,2,0.0,"[0, 0]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.333333333333336,100.0,0.0,0.0,33.333333333333336,,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,58.06451612903226,31.0,18.0,4.0,1.0,23.0,16.0,2.0,1.0,1.0,0.0,0.0,0.0
TZA_007720,SHILEMBO,Mwanza Region,Kwimba District,PRIMARY,CLINIC/DISPENSARY,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,11620,100,0,100,100,100,74.77777777777779,74.0,"[np.float64(90.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0)]",74.0,,,75.55555555555557,"[np.float64(88.88888888888889), np.float64(83.33333333333333), np.float64(69.44444444444444), np.float64(72.22222222222223), np.float64(63.888888888888886)]","[100, 100, 50, 75, 75, 100, 100, 100, 100, 100, 75, 50, 100, 25, 100, 100, 100, 100, 75, 50, 75, 100, 25, 100, 100, 100, 0, 75, 100, 25, 75, 75, 100, 100, 100, 0, 50, 75, 50, 50, 50, 100, 100, 100, 0]",80.0,80.0,50.0,80.0,50.0,100.0,100.0,100.0,40.0,0.0,[],0.0,,,,,40.00000000000001,40.0,,80.0,0.0,50.0,1,[np.float64(50.0)],100.0,0.0,100.0,100.0,0.0,71.5,40.00000000000001,100.0,17.5,100.0,100.0,,,1,100.0,[100],16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,,,100.0,100.0,100.0,0.0,,,,,,,,,,,,,,11.11111111111111,100.0,0.0,0.0,11.11111111111111,,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
