Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,PC_avg_Communication,PC_avg_Respect,PC_avg_Autonomy,PC_avg_Confidentiality,PC_avg_Social support,PC_avg_HW told,PC_avg_Danger signs,PC_avg_Rudeness,PC_avg_Challenges,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_contract_any,chw_paid,chw_tools,facility_composite,HTM_ANC,presence_score,caseload,ANC_dropout,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid_full,CHW_scores,CLM_score,comm_data_collectors,quarterly_feedback,comm_data_analysis,CLM_aware,CLM_promotion,client_feedback,guideline_score,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,flowmeter_avl,flowmeter_func,humidifier_avl,humidifier_func,oxy_available,oxy_deliverable,oxygen_avl,oxygen_avo,oxygen_delivery_avl,oxygen_delivery_func,oxygen_score,pulse_oximeter_avl,pulse_oximeter_func,test-capac,fac_has_lab,fac_test_no_lab,fac_no_test,score with lab,score without lab,Antibodies to HIV 1/2 (anti HIV Ab),Qualitative (EID) or quantitative (viral load) HIV nucleic acid test (NAT),CD4 cell enumeration,Antibodies to Treponema pallidum OR Combined antibodies to T. pallidum and HIV 1/2,Lipoarabinomannan (LAM) antigen,Mycobacterium tuberculosis bacteria,M. tuberculosis DNA,Drug susceptibility testing of M. tuberculosis culture,Plasmodium spp. antigens; species-specific (e.g. HRP2) and/or pan species-specific (e.g. pan-pLDH),Staining procedures,Culture OR Culture and Genus and species identification of bacteria and fungi,Antimicrobial susceptibility testing (AST),C-reactive protein (CRP),"Complete blood count (CBC), automated",Prothrombin time and international normalized ratio (PT/INR),Blood culture,Blood gas,Glucose,Liver profile/Liver Function test,Renal function test,SARS-CoV-2 test,Hepatitis B surface antigen (HBsAg),Influenza A and B antigen,Influenza A and B diagnostic,"Qualitative dengue virus nucleic acid test, Dengue virus IgM antibody or Dengue virus antigen (NS1)",Qualitative nucleic acid test (NAT) for Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) infections,Measles nucleic acid test or Measle serology,Vibrio cholerae antigen,vacancy_score,all_funded_posts,all_unfilled_posts,doctor_posts,doctor_vacancies,nurses_posts,nurses_vacancies,lab-tech_posts,lab-tech_vacancies,pharmacists_posts,pharmacists_vacancies,CHW_posts,CHW_vacancies
MDG_002903,CHU MET,Analamanga,Antananarivo Renivohitra,TERTIARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9,100,100,100,0,100,76.85185185,,[],,,,76.85185185,"[np.float64(nan), np.float64(88.88888888888889), np.float64(75.0), np.float64(66.66666666666667), np.float64(nan)]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, nan, 100, 0, 100, 100, 0, 100, 100, 100, 100, 0, 0, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100,100,100,100,66.66666667,33.33333333,100,100,0,50,"[0, 100, nan, nan]",100,0,100,,,,,,,,,0,[],,,,,,66.47530864,,96,4.166666667,,99.25925926,,,0,,[],16.66666667,0,0,0,0,0,100,60,0,,0,100,,100,100,100,100,100,100,0,0,0,100,100,100,50,100,100,59.25925926,100,0,0,59.25925926,,100,0,0,100,0,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,0,100,0,0,0,0,0,,10,50,5,16,3,18,1,6,0,1,1,0,0
MDG_002825,CHRD2 Antalaha,Sava,Antalaha,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,0,0,63.88888889,83.33333333,"[np.float64(66.66666666666667), np.float64(100.0)]",,66.66666667,100,44.44444444,"[np.float64(44.44444444444444), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[75, 50, 25, 50, 100, 0, 0, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",75,50,25,50,100,0,0,100,0,0,[],0,,,,,,,,,,,0,[],,,,,,100,,,,,,100,,0,,[],83.33333333,100,0,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,25.92592593,100,0,0,25.92592593,,0,100,0,100,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,100,0,100,0,0,0,0,0,,,999,0,0,0,5,0,0,0,0,0,12,0
MDG_002752,CHRD2 Ambatofinandrahana,Amoron'i Mania,Ambatofinandrahana,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,261412,100,100,100,0,0,86.57407407,100,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",,,100,73.14814815,"[np.float64(83.33333333333333), np.float64(69.44444444444444), np.float64(66.66666666666667), np.float64(nan), np.float64(nan)]","[100, 100, 75, 100, 75, 100, 100, 100, 0, 75, 75, 50, 50, 75, 100, 100, 100, 0, 75, 75, 50, 50, 50, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",83.33333333,83.33333333,58.33333333,66.66666667,66.66666667,100,100,100,0,75,"[100, 100, 100, 0]",100,100,100,100,0,,,,,,,0,[],,,,,,30,,60,0,,,,,0,,[],83.33333333,100,100,0,100,100,100,100,100,,100,100,,,100,100,100,100,100,100,100,0,0,0,0,0,0,100,27.27272727,0,100,0,,27.27272727,100,0,0,0,0,,,,100,,,,,,,,,,,,0,100,0,0,,,,0,,999,999,999,999,999,999,4,2,999,999,999,999
MDG_002741,CHRR Alaotra Mangoro,Alaotra Mangoro,Ambatondrazaka,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,1482098,100,0,100,0,0,64.16666667,50,"[np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",,50,,78.33333333,"[np.float64(86.11111111111111), np.float64(75.0), np.float64(75.0), np.float64(83.33333333333333), np.float64(72.22222222222223)]","[100, 100, 75, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 75, 100, 100, 0, 0, 75, 100, 75, 100, 25, 100, 100, 100, 0, 100, 75, 75, 100, 100, 100, 100, 100, 0, 100, 75, 100, 100, 75, 100, 100, 0, 0]",95,90,85,100,75,100,100,60,0,0,[],0,,,,,,,,,,,0,[],,,,,,34.58333333,,100,3.75,,,,0,0,,[],16.66666667,0,0,0,0,0,100,100,100,100,,100,,,100,100,100,100,0,100,0,0,100,100,100,50,100,100,29.62962963,100,0,0,29.62962963,,100,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,100,100,100,0,100,0,0,0,0,0,,0,62,0,18,0,44,0,2,0,3,0,0,0
MDG_002915,CHU Tanambao I,Diana,Antsiranana I,TERTIARY,SPECIALTY HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9,0,0,100,0,0,61.9047619,,[],,,,61.9047619,"[np.float64(60.714285714285715), np.float64(59.375), np.float64(65.625), np.float64(nan), np.float64(nan)]","[100, 50, nan, nan, 75, 100, 100, 0, 0, 100, 75, 0, nan, 0, 100, 100, 100, 0, 100, 75, 50, nan, 0, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",100,66.66666667,25,,25,100,100,66.66666667,0,0,[],0,,,,,,,,,,,0,[],,,,,,,,,,,,,,0,,[],16.66666667,0,0,0,0,0,100,100,,,,100,,,,100,100,0,0,100,100,0,100,100,100,50,100,100,59.25925926,100,0,0,59.25925926,,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,0,,,37,999,13,999,17,999,3,999,4,999,999,999
MDG_002749,CHRD2 Andilamena,Alaotra Mangoro,Andilamena,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,125375,100,0,100,0,0,85.55555556,,[],,,,85.55555556,"[np.float64(86.11111111111111), np.float64(100.0), np.float64(86.11111111111111), np.float64(86.11111111111111), np.float64(69.44444444444444)]","[100, 100, 75, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 75, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 75, 0, 100, 100, 100, 50, 100, 100, 100, 75, 100, 100, 0, 0]",90,100,90,100,90,80,100,80,40,100,"[nan, 100, 100, nan]",100,,100,100,,,,,,,,0,[],,,,,,54.375,,100,8.75,,,,,0,,[],16.66666667,0,0,0,0,0,100,100,100,,,100,,,,100,100,0,0,100,0,0,100,100,100,50,100,100,11.11111111,100,0,0,11.11111111,,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,0,15,0,2,0,10,0,3,0,2,0,0,0
MDG_002804,CHRD2 Ambalavao,Haute Matsiatra,Ambalavao,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,351796,100,100,100,100,0,64.34027778,58.33333333,"[np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0), np.float64(50.0)]",70,50,50,70.34722222,"[np.float64(88.88888888888889), np.float64(72.22222222222223), np.float64(59.375), np.float64(68.75), np.float64(62.5)]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 75, 100, 100, 50, 25, 100, 0, 100, 100, 100, 100, 75, nan, 0, 100, 0, 100, 0, 100, 75, 75, nan, 0, 100, 0, 100, 100, 50, 50, 75, nan, 25, 100, 0, 100, 100]",85,85,85,75,30,100,20,100,60,100,"[100, 100, 100, nan]",100,100,100,100,,66.66666667,100,,100,0,,0,[],,,,,,48.91414141,66.66666667,100,6.818181818,20,,100,0,0,,[],100,100,100,100,100,100,100,100,100,100,100,100,100,,,0,0,0,0,100,100,0,100,100,100,50,100,100,44.44444444,100,0,0,44.44444444,,100,100,0,100,0,100,100,0,100,0,0,0,100,100,0,0,0,100,100,0,100,100,0,0,0,0,0,,0,7,0,0,0,0,0,0,0,0,0,0,0
MDG_002735,CHRR Atsimo Atsinanana,Atsimo Atsinanana,Farafangana,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,0,100,0,0,38.70287698,,[],,,,38.70287698,"[np.float64(35.714285714285715), np.float64(47.22222222222222), np.float64(21.875), np.float64(50.0), np.float64(nan)]","[25, 50, nan, nan, 75, 0, 0, 100, 0, 25, 50, 50, 50, 50, 100, 100, 0, 0, 50, 50, 0, 75, nan, 0, 0, 0, 0, 25, 50, 25, nan, 50, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",31.25,50,25,62.5,58.33333333,50,50,25,0,100,"[nan, 100, 100, nan]",100,,100,100,,,,,,,,0,[],,,,,,18.75925926,,18.51851852,19,,,,,0,,[],100,100,100,100,100,100,100,100,100,,,100,,,,,,,,,,,,,,,,,62.96296296,100,0,0,62.96296296,,100,100,100,100,0,0,0,0,100,100,100,100,0,0,100,100,100,100,100,100,0,0,100,0,100,0,100,,,999,999,5,999,35,999,5,5,5,999,999,999
MDG_002913,CHU Profesora ZaGa Androva,Boeny,Mahajanga I,TERTIARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,UNIVERSITY,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9,100,100,100,100,0,76.66666667,70,"[np.float64(70.0), np.float64(60.0), np.float64(100.0), np.float64(50.0)]",65,,75,83.33333333,"[np.float64(83.33333333333333), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[75, 75, 100, 100, 100, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",75,75,100,100,100,100,100,100,0,0,[],0,,,,,66.66666667,100,,100,0,,0,[],,,,,,53.42028986,66.66666667,100,0.434782609,50,,50,,0,,[],16.66666667,0,0,0,0,0,100,83.33333333,0,100,100,100,100,,100,,,,,,,,,,,,,,55.55555556,100,0,0,55.55555556,,100,0,0,100,0,100,100,0,100,100,100,0,100,100,100,0,0,100,100,100,0,100,0,100,0,0,0,,,310,999,50,999,145,999,110,159,1,999,999,999
MDG_002861,CHU Mahavoky Atsimo,Boeny,Mahajanga I,TERTIARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9,100,100,100,100,100,72.2979798,83.48484848,"[np.float64(90.9090909090909), np.float64(60.0), np.float64(100.0), np.float64(50.0), np.float64(100.0), np.float64(100.0)]",75.45454545,,87.5,61.11111111,"[np.float64(72.22222222222223), np.float64(47.22222222222222), np.float64(66.66666666666667), np.float64(nan), np.float64(58.333333333333336)]","[75, 75, 50, 75, 75, 100, 100, 100, 0, 75, 75, 75, 50, 50, 0, 0, 100, 0, 75, 50, 50, 75, 50, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, 50, 75, 50, 0, 50, 100, 100, 100, 0]",68.75,68.75,56.25,50,56.25,75,75,100,0,0,[],0,,,,,66.66666667,100,100,50,50,,0,[],,,,,,48.91677392,66.66666667,26.42857143,0.405405405,0,100,100,,0,,[],33.33333333,100,0,0,0,0,100,60,100,,0,100,100,0,,0,0,100,100,100,0,0,100,100,100,50,100,100,62.96296296,100,0,0,62.96296296,,100,100,0,0,0,0,100,100,100,100,100,100,100,100,100,100,0,100,0,100,100,100,0,100,0,0,0,,,999,999,32,999,43,999,65,3,3,999,999,999
MDG_002022,CSB2 Vohitsara,Alaotra Mangoro,Amparafaravola,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,7698,100,0,100,100,100,74,74,"[np.float64(60.0), np.float64(70.0), np.float64(80.0), np.float64(80.0), np.float64(80.0)]",74,,,,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,,,,75,"[0, 100, 100, 100]",100,0,100,100,100,60,60,,100,20,0,5,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]",0,0,100,0,0,68.21761658,60,100,20,80,81.0880829,,,5,0,"[0, 0, 0, 0, 0]",16.66666667,0,0,0,0,0,100,20,0,,,0,0,0,100,,,,,,,,,,,,,,0,0,0,100,,0,0,0,0,0,0,,,,0,,,,,,,,,,,,0,0,0,0,,,,0,0,7,0,0,0,2,0,0,0,1,0,4,0
MDG_003489,FSP_ OSTIE Behoririka,Analamanga,Antananarivo Renivohitra,PRIMARY,CLINIC/DISPENSARY,,NGO/NOT-FOR-PROFIT,,URBAN,OUTPATIENT ONLY,PRIMARY,9,100,100,100,100,100,74.89583333,70,"[np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(70.0), np.float64(50.0), np.float64(100.0), np.float64(50.0), np.float64(100.0), np.float64(50.0)]",70,,70,79.79166667,"[np.float64(84.375), np.float64(71.875), np.float64(83.33333333333333), np.float64(78.125), np.float64(81.25)]","[100, 100, 75, nan, 100, 100, 100, 100, 0, 100, 100, 50, nan, 25, 100, 100, 100, 0, 100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 75, nan, 50, 100, 100, 100, 0, 100, 100, 100, nan, 50, 100, 100, 100, 0]",100,100,75,100,60,100,100,100,0,66.66666667,"[0, 100, 100, nan]",100,0,100,100,,40,0,,100,20,,0,[],,,,,,66.09195402,40,96.55172414,0,60,100,100,,0,,[],100,100,100,100,100,100,100,83.33333333,100,,100,100,0,100,100,,,,,,,,,,,,,,44.44444444,100,0,0,44.44444444,,100,0,0,100,0,100,0,0,100,100,100,0,100,100,0,0,0,100,100,100,0,100,0,0,0,0,0,,,230,999,19,0,17,0,15,0,0,0,0,0
MDG_002827,CHRD2 Vohemar,Sava,Vohimarina (Vohémar),SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,74.52256944,83.33333333,"[np.float64(70.0), np.float64(60.0), np.float64(60.0), np.float64(60.0), np.float64(66.66666666666667), np.float64(50.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",62.5,83.33333333,100,65.71180556,"[np.float64(68.75), np.float64(63.888888888888886), np.float64(58.333333333333336), np.float64(71.875), np.float64(nan)]","[50, 100, 50, 50, 100, nan, 100, 100, 0, 50, 100, 100, 50, 75, 0, 100, 100, 0, 50, 100, 50, 50, 75, 0, 100, 100, 0, 50, 100, 25, 100, 100, nan, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",50,100,56.25,62.5,87.5,0,100,100,0,0,[],0,,,,,66.66666667,,100,100,0,,0,[],,,,,,62.22666667,66.66666667,41.66666667,2.8,,,100,100,0,,[],66.66666667,100,0,100,100,0,100,100,100,100,100,100,100,100,,0,0,100,100,100,100,0,100,0,0,50,100,100,51.85185185,100,0,0,51.85185185,,0,0,0,100,0,100,0,100,100,100,100,0,100,100,100,100,0,100,100,100,0,100,0,0,0,0,0,,,999,0,0,0,0,0,0,0,4,0,0,0
MDG_002909,CHU JRB,Analamanga,Antananarivo Renivohitra,TERTIARY,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,3000000,100,100,100,0,0,66.66666667,55.55555556,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",,0,100,77.77777778,"[np.float64(80.55555555555556), np.float64(75.0), np.float64(nan), np.float64(nan), np.float64(nan)]","[75, 100, 50, 100, 100, 100, 100, 100, 0, 75, 75, 75, nan, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",75,87.5,62.5,100,87.5,100,100,100,0,0,[],0,,,,,,,,,,,0,[],,,,,,66.66666667,,,,,,,66.66666667,0,,[],0,0,0,0,0,0,0,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33.33333333,100,0,0,33.33333333,,100,0,0,0,0,100,0,0,0,0,0,0,100,100,100,0,0,100,0,100,100,100,0,0,0,0,0,,0,380,0,76,0,109,0,2,0,4,0,0,0
MDG_002787,CHRD2 Vangaindrano,Atsimo Atsinanana,Vangaindrano,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,76.38888889,100,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",,,100,52.77777778,"[np.float64(44.44444444444444), np.float64(58.333333333333336), np.float64(58.333333333333336), np.float64(50.0), np.float64(nan)]","[25, 25, 50, 75, 25, 100, 100, 0, 0, 75, 75, 50, 75, 50, 100, 100, 0, 0, 25, 75, 50, 25, 50, 100, 100, 100, 0, 25, 50, 75, 50, 50, 0, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",37.5,56.25,56.25,56.25,43.75,75,100,50,0,100,"[100, 100, 100, nan]",100,100,100,100,,,,,,,,0,[],,,,,,73.33333333,,100,20,,,100,,0,,[],100,100,100,100,100,100,100,83.33333333,100,,100,100,100,0,100,100,100,100,100,100,0,100,0,100,100,50,0,0,29.62962963,100,0,0,29.62962963,,0,0,100,100,0,100,0,0,100,0,0,0,100,0,0,0,0,100,0,0,100,100,0,0,0,0,0,,,25,999,5,999,13,13,2,0,3,0,0,0
MDG_002759,CHRD2 Ankazobe,Analamanga,Ankazobe,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,235000,100,100,100,100,0,75.21825397,85.71428571,"[np.float64(50.0), np.float64(50.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",50,,100,64.72222222,"[np.float64(50.0), np.float64(55.55555555555556), np.float64(88.88888888888889), np.float64(62.5), np.float64(66.66666666666667)]","[100, 100, 0, nan, 100, 0, 0, 100, 0, 100, 100, 0, 100, 100, 0, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 0, nan, 100, 100, 0, 100, 0, 100, 100, 100, 100, 0, 100, 0, 100, 0]",100,100,40,100,80,60,20,100,0,66.66666667,"[100, 0, 100, nan]",100,100,0,100,,16.66666667,0,,50,0,,0,[],,,,,,56.53333333,16.66666667,62.5,3.5,100,,100,,0,,[],16.66666667,0,0,0,0,0,100,75,100,,100,100,0,,,100,100,100,100,100,100,100,0,100,100,50,0,0,40.74074074,100,0,0,40.74074074,,100,0,0,100,0,100,100,0,100,0,0,0,100,100,0,0,0,100,100,100,0,100,0,0,0,0,0,,40,25,10,1,1,5,5,2,2,2,2,0,0
MDG_002930,CHRD2 Amboangibe,Sava,Sambava,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,0,0,83.7962963,100,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",,,100,67.59259259,"[np.float64(69.44444444444444), np.float64(75.0), np.float64(58.333333333333336), np.float64(nan), np.float64(nan)]","[100, 75, 100, 50, 100, 0, 100, 100, 0, 75, 100, 75, 50, 100, nan, 100, 100, 0, 75, 100, 25, 50, 75, 0, 100, 100, 0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",83.33333333,91.66666667,66.66666667,50,91.66666667,0,100,100,0,0,[],0,,,,,,,,,,,0,[],,,,,,27.14285714,,71.42857143,10,,,0,,0,,[],83.33333333,100,100,0,100,100,100,66.66666667,100,,0,100,,,,,,,,,,,,,,,,,29.62962963,100,0,0,29.62962963,,0,0,100,0,0,0,0,0,100,0,0,0,100,100,100,100,0,100,0,100,0,0,0,0,0,0,0,,,999,999,0,0,0,0,0,0,0,0,0,0
MDG_002902,CHU SSPA,Analamanga,Antananarivo Renivohitra,TERTIARY,NATIONAL REFERRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,OUTPATIENT ONLY,TERTIARY,3000000,100,100,100,0,100,68.29861111,60,"[np.float64(100.0), np.float64(0.0), np.float64(50.0), np.float64(50.0), np.float64(100.0)]",,,60,76.59722222,"[np.float64(80.55555555555556), np.float64(83.33333333333333), np.float64(66.66666666666667), np.float64(80.55555555555556), np.float64(71.875)]","[100, 100, 75, 75, 75, 100, 100, 100, 0, 100, 100, 100, 100, 50, 100, 100, 100, 0, 100, 100, 50, 75, 75, 100, 0, 100, 0, 100, 100, 100, 100, 25, 100, 100, 100, 0, 100, 100, 100, nan, 75, 100, 0, 100, 0]",100,100,85,87.5,60,100,60,100,0,0,[],0,,,,,,,,,,,0,[],,,,,,76.74074074,,100,30.22222222,,,100,,0,,[],16.66666667,0,0,0,0,0,100,50,0,,100,100,,0,,,,,,,,,,,,,,,40.74074074,100,0,0,40.74074074,,0,0,0,0,0,100,0,0,100,100,100,100,100,100,0,0,0,100,100,100,0,100,0,0,0,0,0,,,107,999,38,0,22,0,4,0,1,0,0,0
MDG_002916,CHU Tambohobe,Haute Matsiatra,Fianarantsoa I,TERTIARY,OTHER (SPECIFY),CHU,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9,100,100,100,0,100,94.375,100,"[np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0), np.float64(100.0)]",,100,100,88.75,"[np.float64(78.125), np.float64(97.22222222222223), np.float64(90.625), np.float64(80.55555555555556), np.float64(97.22222222222223)]","[100, 75, 100, nan, 50, 100, 0, 100, 100, 100, 100, 100, 100, 75, 100, 100, 100, 100, 75, 100, 100, nan, 50, 100, 100, 100, 100, 100, 100, 75, 100, 50, 100, 0, 100, 100, 100, 100, 100, 100, 75, 100, 100, 100, 100]",95,95,95,100,60,100,60,100,100,0,"[0, 0, 0, nan]",100,0,0,0,,,,,,,,0,[],,,,,,86.18568233,,,,,83.55704698,100,75,0,,[],16.66666667,0,0,0,0,0,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,55.55555556,100,0,0,55.55555556,,0,0,100,0,0,100,100,0,100,0,100,100,100,100,100,0,0,100,100,100,100,100,0,0,0,100,0,,,999,0,0,0,0,0,0,0,0,0,0,0
MDG_002762,CHRD2 Ambohimangakely,Analamanga,Antananarivo Avaradrano,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,325647,100,0,100,100,0,69.22222222,74,"[np.float64(80.0), np.float64(60.0), np.float64(70.0), np.float64(70.0), np.float64(90.0)]",74,,,64.44444444,"[np.float64(52.77777777777778), np.float64(72.22222222222223), np.float64(72.22222222222223), np.float64(58.333333333333336), np.float64(66.66666666666667)]","[100, 100, 75, 100, 0, 0, 0, 100, 0, 100, 100, 50, 100, 100, 100, 100, 0, 0, 100, 100, 50, 100, 0, 100, 100, 100, 0, 100, 50, 75, 100, 100, 0, 0, 100, 0, 100, 100, 100, 100, 0, 100, 0, 100, 0]",100,90,70,100,40,60,40,80,0,66.66666667,"[0, 100, 100, nan]",100,0,100,100,,66.66666667,100,,100,0,,0,[],,,,,,59.65277778,66.66666667,90,1.944444444,80,,,,0,,[],16.66666667,0,0,0,0,0,100,25,0,,,100,0,,0,100,100,100,100,100,0,100,0,100,100,50,100,0,37.03703704,100,0,0,37.03703704,,100,0,0,100,0,0,0,0,100,100,0,0,100,100,0,0,0,100,100,100,0,100,0,0,0,0,0,,5,40,2,34,2,13,0,3,0,1,0,0,0
