Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,iss_score,iss_check,fac_iss,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_count,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CHW_scores,CLM_score,guideline_score,guideline_check,guide_HIV_test,guide_ART,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,test-capac_check,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
NGA_000322,General Hospital Umuleri,Anambra,Anambra-East,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,93.33333333333334,100.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",100.0,100.0,100.0,86.66666666666667,"[77.77777777777777, 88.88888888888889, 88.88888888888889, 88.88888888888889, 88.88888888888889]","[100, 100, 50, 100, 50, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,5,"[100.0, 100.0, 100.0, 100.0, 100.0]",100.0,100.0,100.0,100.0,69.35984848484848,100.0,90.9090909090909,5.25,100.0,,20.0,100.0,100.0,"[100, 100, 100, 100, 100]",100.0,100.0,"[100, 100, 100, 100, 100, 100, nan]",100.0,100.0,100.0,100.0,100.0,100.0,,0.0,0.0,0.0,40.74074074074074,"[100, 100, 100, 0, 100, 100, 0, 100, 0, 0, 100, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 100, 100, 0, 0]",40.74074074074074,,83.33333333333334,24.0,20.0
NGA_000656,Health Centre Itoki,Ogun,Ifo,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,41846,100,100,100,100,100,90.83333333333334,90.0,"[80.0, 80.0, 80.0, 80.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0]",80.0,,100.0,91.66666666666667,[91.66666666666667],"[100, 100, 75, 100, 50, 100, 100, 100, 100]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,75.0,3,"[50.0, 75.0, 100.0]",66.66666666666667,66.66666666666667,66.66666666666667,100.0,77.82845345345346,66.66666666666667,100.0,2.5,100.0,97.80405405405406,100.0,,66.66666666666667,"[100, 0, 100]",83.33333333333334,100.0,"[100, nan, 100, 100, 100, 100, 100]",100.0,,100.0,100.0,100.0,100.0,100.0,,,,14.814814814814815,"[100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0]",14.814814814814815,,0.0,12.0,0.0
NGA_000395,District Hospital Agbani,Enugu,Nkanu-West,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,57.173611111111114,78.44444444444444,"[80.0, 90.0, 80.0, 80.0, 80.0, 50.0, 50.0, 66.66666666666667, 50.0, 100.0, 100.0, 100.0, 50.0, 100.0, 100.0]",82.0,63.333333333333336,90.0,35.90277777777778,"[63.888888888888886, 62.5, 53.125, 0.0, 0.0]","[100, 100, 50, 75, 50, 0, 100, 100, 0, 50, 75, 50, 100, 25, 100, 100, nan, 0, 25, 100, 0, 100, 0, 100, 0, 100, nan, nan, nan, nan, nan, nan, 0, 0, nan, 0, nan, nan, nan, nan, nan, 0, 0, nan, 0]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,73.33333333333334,100.0,100.0,100.0,20.0,10.0,5,"[25.0, 0.0, 25.0, 0.0, 0.0]",0.0,0.0,20.0,20.0,60.333333333333336,73.33333333333334,,,100.0,108.33333333333333,20.0,0.0,20.0,"[100, 0, 0, 0, 0]",100.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,74.07407407407408,"[100, 100, 100, 0, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 0, 100, 0, 0, 100, 100, 100, 100, 0]",74.07407407407408,,100.0,4.0,5.0
NGA_000655,State Hospital Ota,Ogun,Ado-Odo-Ota,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,215001,100,100,100,100,100,65.88888888888889,91.77777777777777,"[90.0, 80.0, 80.0, 80.0, 80.0, 100.0, 100.0, 100.0, 100.0, 66.66666666666667, 100.0, 100.0, 100.0, 100.0, 100.0]",82.0,93.33333333333334,100.0,40.0,"[83.33333333333333, 55.55555555555556, 0.0, 61.111111111111114, 0.0]","[100, 100, 75, 100, 75, 100, 100, 100, 0, 50, 50, 75, 75, 50, 100, 0, 100, 0, nan, nan, nan, nan, nan, 0, 0, nan, 0, 100, 100, 50, 50, 50, 100, 100, 0, 0, nan, nan, nan, nan, nan, 0, 0, nan, 0]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,50.0,4,"[50.0, 100.0, 50.0, 0.0]",75.0,25.0,25.0,75.0,75.9080459770115,66.66666666666667,,,100.0,86.20689655172413,60.0,66.66666666666667,25.0,"[0, 100, 0, 0]",83.33333333333334,85.71428571428571,"[100, 0, 100, 100, 100, 100, 100]",100.0,0.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,77.77777777777777,"[100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 100, 0, 0, 100, 100, 100, 0]",77.77777777777777,,2.941176470588235,68.0,2.0
NGA_000402,Nsukka - Bishop Shanahan Hospital Nsukka,Enugu,Nsukka,TERTIARY,SPECIALTY HOSPITAL,,NGO/NOT-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,256,100,100,100,100,100,74.66666666666666,77.11111111111111,"[80.0, 70.0, 80.0, 80.0, 80.0, 50.0, 66.66666666666667, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0]",78.0,53.333333333333336,100.0,72.22222222222221,"[83.33333333333333, 44.44444444444444, 77.77777777777777, 66.66666666666667, 88.88888888888889]","[100, 100, 50, 100, 100, 100, 100, 100, 0, 100, 50, 50, 100, 100, 0, 0, 0, 0, 100, 100, 50, 50, 100, 100, 100, 100, 0, 100, 50, 100, 50, 100, 100, 100, 0, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,66.66666666666667,100.0,100.0,100.0,0.0,60.0,5,"[75.0, 50.0, 50.0, 50.0, 75.0]",100.0,20.0,100.0,20.0,74.83341716636808,66.66666666666667,91.30434782608695,9.047619047619047,100.0,96.81528662420382,60.0,100.0,100.0,"[100, 100, 100, 100, 100]",100.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.77777777777777,"[100, 100, 100, 0, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100, 0]",77.77777777777777,,28.205128205128204,39.0,11.0
NGA_000578,Orhionmwon - State Specialist Hospital Ossiomo,Edo,Orhionmwon,SECONDARY,SPECIALTY HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,0,0,90.625,100.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",,100.0,100.0,81.25,[81.25],"[100, 100, 75, 100, 75, 100, 0, 100, nan]",100.0,"[100, 100, 100, nan]",100,100.0,100.0,100.0,,,,,,,,0,[],,,,,43.75,,100.0,5.0,,,20.0,50.0,,[],100.0,80.0,"[100, 100, 100, 100, nan, nan, 0]",100.0,100.0,100.0,100.0,,,0.0,0.0,0.0,0.0,29.62962962962963,"[100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 100, 0, 0]",29.62962962962963,,100.0,10.0,15.0
NGA_000647,Federal Medical Centre Abeokuta,Ogun,Abeokuta-South,TERTIARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9,100,100,100,100,100,70.94444444444444,82.44444444444444,"[80.0, 80.0, 80.0, 70.0, 60.0, 100.0, 66.66666666666667, 50.0, 100.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0]",74.0,73.33333333333334,100.0,59.44444444444444,"[75.0, 63.888888888888886, 86.11111111111111, 72.22222222222223, 0.0]","[50, 75, 75, 75, 100, 100, 100, 100, 0, 100, 50, 75, 75, 75, 100, 100, 0, 0, 0, 75, 100, 100, 100, 100, 100, 100, 100, 75, 75, 50, 100, 50, 100, 100, 100, 0, nan, nan, nan, nan, nan, 0, 0, nan, 0]",100.0,"[100, nan, 100, 100]",100,100.0,,100.0,100.0,66.66666666666667,100.0,,100.0,0.0,58.333333333333336,3,"[75.0, 25.0, 75.0]",100.0,0.0,66.66666666666667,66.66666666666667,88.4071494893222,66.66666666666667,,,100.0,95.3690807799443,80.0,100.0,66.66666666666667,"[100, 0, 100]",83.33333333333334,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,77.77777777777777,"[100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 0, 0, 100, 100, 100]",77.77777777777777,,100.0,120.0,120.0
NGA_000189,Abubakar Tafawa Balewa University Teaching Hospital (Atbuth) Bauchi,Bauchi,Bauchi,TERTIARY,NATIONAL REFERRAL HOSPITAL,,UNIVERSITY,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9,100,100,100,100,100,73.53535353535354,98.18181818181819,"[90.9090909090909, 90.9090909090909, 100.0, 90.9090909090909, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",94.54545454545455,100.0,100.0,48.88888888888888,"[77.77777777777777, 0.0, 83.33333333333333, 0.0, 83.33333333333333]","[100, 100, 100, 100, 100, 100, 100, 0, 0, nan, nan, nan, nan, nan, 0, 0, nan, 0, 100, 100, 100, 75, 75, 100, 100, 100, 0, nan, nan, nan, nan, nan, 0, 0, nan, 0, 100, 100, 100, 75, 75, 100, 100, 100, 0]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,85.0,100.0,100.0,100.0,40.0,80.0,5,"[100.0, 0.0, 100.0, 100.0, 100.0]",80.0,80.0,80.0,80.0,57.072649572649574,85.0,97.43589743589743,0.0,100.0,,60.0,0.0,80.0,"[100, 0, 100, 100, 100]",100.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",100.0,,,300.0,999.0
NGA_000345,Madueke Memorial Hospital And Maternity Nkpor,Anambra,Idemili-North,SECONDARY,MATERNAL/CHILD HEALTH CLINIC,,PRIVATE-FOR-PROFIT,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,0,100,100,100,93.88888888888889,100.0,"[100.0, 100.0, 100.0, 100.0, 100.0]",100.0,,,87.77777777777779,"[88.88888888888889, 83.33333333333333, 88.88888888888889, 88.88888888888889, 88.88888888888889]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 50, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0]",100.0,"[100, 100, 100, nan]",100,100.0,100.0,100.0,,100.0,100.0,,100.0,100.0,,0,[],,,,,76.38031430934657,100.0,80.64516129032258,6.0,100.0,95.25641025641025,,,,[],100.0,100.0,"[100, nan, nan, 100, 100, 100, 100]",100.0,,,100.0,100.0,100.0,100.0,50.0,0.0,100.0,66.66666666666667,"[100, 100, 0, 0, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 0, 0, 100, 0, 0, 0, 100]",66.66666666666667,,40.476190476190474,42.0,17.0
NGA_000196,General Hospital Toro,Bauchi,Toro,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,80.27777777777777,100.0,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",100.0,100.0,100.0,60.55555555555556,"[83.33333333333333, 86.11111111111111, 77.77777777777777, 0.0, 55.55555555555556]","[100, 100, 50, 100, 100, 100, 100, 100, 0, 100, 100, 75, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 0, 0, nan, nan, nan, nan, nan, 0, 0, nan, 0, 100, 100, 100, 100, 100, 0, 0, 0, 0]",100.0,"[100, 100, 100, 100]",100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,2,"[100.0, 0.0]",50.0,50.0,50.0,50.0,63.81258714665991,100.0,93.87755102040816,4.239130434782608,100.0,98.57142857142858,0.0,50.0,50.0,"[100, 0]",100.0,100.0,"[100, 100, 100, 100, 100, 100, 100]",100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,70.37037037037037,"[100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",70.37037037037037,,5.1020408163265305,98.0,5.0
