Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002, Facility_Score , HW_Competence_Score , Patient_Centeredness_Score , HTM-ANC , system_CHW_score , facility_composite , HTM-ANC , presence_score , caseload , ANC_score , DPT_score , TB_treatment_completion , ART_retention , CHW_count , CHW_paid , CLM_score , guideline_score , oxygen_score , vacancy_score , all_funded_posts , all_unfilled_posts 
MWI_001168,Ngabu Sda Health Centre,South West Zone,Chikwawa,PRIMARY,HEALTH CENTRE,,MISSION/FAITH-BASED,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,36554, 58.39 , 39.00 , 77.78 , 60.00 , 75.00 , 86.72 , 60.00 , 100.00 , 100.00 , 80.00 , 80.32 ,, 100.00 , 5.00 , 100.00 , 50.00 , 100.00 ,, 30.30 , 33.00 , 23.00 
MWI_000339,Diamphwe Health Centre,Central West Zone,Lilongwe,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,21703, 58.20 , 54.18 , 62.21 , 63.33 , 60.00 , 70.70 , 63.33 , 50.00 , 100.00 , 80.00 , 91.58 , 60.00 , 50.00 , 5.00 , 80.00 , 83.33 , 100.00 , 100.00 , 78.57 , 56.00 , 12.00 
MWI_000914,Mhuju Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9, 68.75 , 50.00 , 87.50 , 66.67 , 60.00 , 43.26 , 66.67 , 50.00 , 100.00 , -   , 86.14 , -   , -   , 5.00 , 60.00 , 83.33 , 100.00 , 100.00 ,, 34.00 , 999.00 
MWI_000795,Makwapala Health Centre,South East Zone,Zomba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,25000, 49.44 , 46.67 , 52.22 , 66.67 , 45.00 , 79.28 , 66.67 , 100.00 , 100.00 , -   , 88.29 , 100.00 , 100.00 , 5.00 , 40.00 , 83.33 , 100.00 , 100.00 , 87.78 , 90.00 , 11.00 
MWI_001371,St. Lukes Mission Hospital,South East Zone,Zomba,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,90000, 49.11 , 27.67 , 70.56 , 63.33 , 65.00 , 68.50 , 63.33 , 100.00 , 49.38 , -   , 98.26 ,, 100.00 , 5.00 , 80.00 , 100.00 , 100.00 ,, 80.12 , 161.00 , 32.00 
MWI_000347,Domasi Rural Hospital,South East Zone,Zomba,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,31215, 53.94 , 54.55 , 53.33 , 66.67 , 70.00 , 84.81 , 66.67 , 71.43 , 100.00 , 60.00 , 95.56 , 100.00 , 100.00 , 5.00 , 40.00 , 100.00 , 100.00 , 100.00 ,, 119.00 , 999.00 
MWI_000491,Kafere Health Centre,Central West Zone,Dedza,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,14322, 53.28 , 31.00 , 75.56 , 66.67 , 85.00 , 48.78 , 66.67 , 50.00 , -   , 40.00 , 86.03 ,, 50.00 , 5.00 , 100.00 , -   , 100.00 ,, 75.00 , 24.00 , 6.00 
MWI_000107,Bolero Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),Rural hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,48335, 64.07 , 58.15 , 70.00 , 50.00 , 50.00 , 71.66 , 50.00 , 50.00 , 100.00 , 40.00 , 94.99 , 100.00 , 66.67 , 4.00 , 75.00 , 83.33 , 100.00 , 100.00 ,, 74.00 , 999.00 
MWI_001399,Tengani Health Centre,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,28135, 73.78 , 65.33 , 82.22 , 60.00 , 75.00 , 63.79 , 60.00 , 100.00 , -   , 100.00 , 86.51 , -   , 100.00 , 5.00 , 100.00 , 83.33 , 100.00 ,, 89.58 , 48.00 , 5.00 
MWI_001167,Ngabu Rural Hospital,South West Zone,Chikwawa,SECONDARY,OTHER (SPECIFY),Rural Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,89242, 63.42 , 69.33 , 57.50 , 86.67 , 75.00 , 66.04 , 86.67 , 23.53 , 100.00 , 60.00 ,, 60.00 ,, 5.00 , 100.00 , 33.33 , 100.00 ,,, 999.00 , 999.00 
MWI_000600,Katowo Rural Hospital,North Zone,Rumphi,SECONDARY,OTHER (SPECIFY),RURAL HOSPITAL,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,16604, 54.40 , 30.46 , 78.33 , 63.33 , 45.00 , 62.86 , 63.33 , 100.00 , 47.50 , 40.00 , 99.18 , 50.00 , 40.00 , 5.00 , 20.00 , 83.33 , 100.00 , 100.00 , 78.33 , 60.00 , 13.00 
MWI_001149,Nayuchi Health Centre,South East Zone,Machinga,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,23893, 78.06 , 80.00 , 76.11 , 66.67 , 85.00 , 83.55 , 66.67 , 100.00 , 100.00 , 40.00 , 94.65 , 100.00 ,, 5.00 , 60.00 , 66.67 , 100.00 ,, 85.71 , 70.00 , 10.00 
MWI_000525,Kamsonga Health Centre,Central East Zone,Ntchisi,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,24176, 43.21 , 23.64 , 62.78 , 66.67 , 40.00 , 72.36 , 66.67 , 100.00 , 100.00 , 40.00 , 99.87 , -   , 100.00 , 5.00 , -   , 100.00 , 100.00 ,, 65.52 , 58.00 , 20.00 
MWI_001302,Rumphi District Hospital,North Zone,Rumphi,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,39400, 68.32 , 58.30 , 78.33 , 43.33 , 50.00 , 40.34 , 43.33 ,,, -   , 78.35 , 80.00 , -   , 5.00 , 40.00 , 100.00 , 100.00 , 100.00 , 59.12 , 976.00 , 399.00 
MWI_001197,Nkhoma Mission Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,75710, 61.39 , 53.33 , 69.44 , 66.67 , 45.00 , 59.51 , 66.67 , 100.00 , 52.50 , -   , 97.37 , -   , 100.00 , 5.00 , -   , 100.00 , 100.00 , 100.00 , 95.49 , 266.00 , 12.00 
MWI_001366,St. Johns Hospital,North Zone,Mzimba,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,24450, 51.74 , 32.36 , 71.11 , 43.33 , 55.00 , 54.43 , 43.33 ,,, 60.00 , 88.80 , 80.00 , -   , 5.00 , 20.00 , 50.00 , 100.00 , 100.00 , 49.35 , 77.00 , 39.00 
MWI_000818,Malomo Health Centre,Central East Zone,Ntchisi,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,53042, 53.90 , 47.33 , 60.47 , 66.67 , 50.00 , 87.54 , 66.67 , 66.67 , 100.00 , 80.00 , 99.42 , 100.00 , 100.00 , 5.00 , 60.00 , 83.33 , 100.00 , 100.00 ,, 60.00 , 999.00 
MWI_000194,Chikweo Health Centre,South East Zone,Machinga,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,110850, 70.10 , 85.33 , 54.86 , 66.67 , 55.00 , 73.21 , 66.67 , 50.00 , 100.00 , 40.00 , 95.82 , 80.00 , 80.00 , 5.00 , -   , 100.00 , 100.00 ,, 82.26 , 62.00 , 11.00 
MWI_001509,Zomba Central Hospital,South East Zone,Zomba,TERTIARY,CENTRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,5157, 55.23 , 51.58 , 58.89 , 50.00 , 45.00 , 77.24 , 50.00 , 77.78 , 100.00 , 100.00 , 92.92 , 20.00 , 100.00 , 5.00 , -   , 66.67 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001522,Osiyana,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,16371, 61.22 , 43.00 , 79.44 , 66.67 , 70.00 , 83.63 , 66.67 , 100.00 , 100.00 , 40.00 , 95.14 ,, 100.00 , 5.00 , 60.00 , 83.33 , 100.00 ,, 52.63 , 57.00 , 27.00 
MWI_001092,Mzambazi Community Hospital,North Zone,Mzimba,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,27176, 61.28 , 42.00 , 80.56 , 66.67 , 56.25 , 65.12 , 66.67 , 50.00 , 100.00 , 40.00 , 99.14 , 100.00 , -   , 4.00 , -   , 100.00 , 100.00 , 100.00 , 67.44 , 129.00 , 42.00 
MWI_001216,Nsanje District Hospital,South West Zone,Nsanje,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9, 43.56 , 36.00 , 51.11 , 73.33 , 65.00 , 68.78 , 73.33 ,,, 80.00 , 90.55 , -   , 100.00 , 5.00 , 100.00 , 66.67 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001319,Sankhulani Health Centre,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21583, 51.91 , 49.33 , 54.49 , 73.33 , 60.00 , 74.48 , 73.33 , 50.00 , 100.00 , 40.00 , 98.06 , 60.00 , 100.00 , 5.00 , 100.00 , 16.67 , 100.00 ,,, 999.00 , 999.00 
MWI_000383,Ekwendeni Mission Hospital,North Zone,Mzimba,SECONDARY,OTHER (SPECIFY),Community Hospital,MISSION/FAITH-BASED,,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,75000, 61.39 , 43.33 , 79.44 , 66.67 , 75.00 , 72.35 , 66.67 , 100.00 , 28.33 , 80.00 , 96.45 , 60.00 , 75.00 , 5.00 , 100.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 78.00 
MWI_001349,Sr. Tereza Rural Hospital,Central West Zone,Ntcheu,SECONDARY,COMPREHENSIVE HEALTH CENTRE/ POLY CLINIC,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,6234, 82.22 , 86.67 , 77.78 , 66.67 , 70.00 , 92.09 , 66.67 , 100.00 , 100.00 , 100.00 , 97.98 , 80.00 , 100.00 , 5.00 , 20.00 , 83.33 , 100.00 , 100.00 , 78.69 , 61.00 , 13.00 
MWI_000053,Balaka District Hospital,South East Zone,Balaka,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,580000, 54.17 , 53.33 , 55.00 , 66.67 , 60.00 , 64.18 , 66.67 , 93.33 , 31.71 , 20.00 , 97.57 , 40.00 , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_000752,Machinga District Hospital,South East Zone,Machinga,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,64428, 60.79 , 61.03 , 60.56 , 63.33 , 65.00 , 63.86 , 63.33 , 86.49 , 46.88 , -   , 90.34 , 60.00 , 100.00 , 5.00 , 100.00 , 83.33 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_000360,Dwambazi Rural Hospital,Central East Zone,Nkhotakota,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,21950, 53.17 , 34.67 , 71.67 , 66.67 , 60.00 , 76.28 , 66.67 , 50.00 , 100.00 , 80.00 , 97.31 , 100.00 , 40.00 , 5.00 , 20.00 , 50.00 , 100.00 , 100.00 , 56.25 , 80.00 , 35.00 
MWI_000898,Mchinji District Hospital,Central West Zone,Mchinji,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,65973, 53.61 , 60.00 , 47.22 , 66.67 , 45.00 , 79.27 , 66.67 ,,, 60.00 , 89.71 , 80.00 , 100.00 , 5.00 , 20.00 , 66.67 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_000334,Dedza District Hospital,Central West Zone,Dedza,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,31643, 62.52 , 58.00 , 67.05 , 66.67 , 35.00 , 71.98 , 66.67 , 80.00 , 100.00 , 40.00 , 77.21 , 40.00 , 100.00 , 5.00 , 40.00 , 66.67 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001030,Mtendere Health Centre,Central West Zone,Dedza,SECONDARY,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,82298, 60.22 , 56.00 , 64.44 , 66.67 , 45.00 , 84.11 , 66.67 , 100.00 , 43.33 , 80.00 , 98.75 , 100.00 , 100.00 , 5.00 , -   , 100.00 , 100.00 , -   , 69.32 , 88.00 , 27.00 
MWI_000770,Madziabango Health Centre,South West Zone,Blantyre,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,13006, 68.80 , 65.38 , 72.22 , 66.67 , 90.00 , 91.79 , 66.67 , 100.00 , 100.00 , 80.00 , 95.85 , 100.00 , 100.00 , 5.00 , 100.00 , 16.67 , 100.00 ,, 63.77 , 69.00 , 25.00 
MWI_000714,Lugola Health Centre,South East Zone,Mangochi,PRIMARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,22152, 51.32 , 50.42 , 52.22 , 58.33 , 50.00 , 61.99 , 58.33 , 100.00 , 70.00 , 40.00 , 83.58 , 20.00 ,, 5.00 , -   , 50.00 , 100.00 ,, 15.91 , 44.00 , 37.00 
MWI_000184,Chikangawa Health Centre,North Zone,Mzimba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9941, 57.28 , 40.67 , 73.89 , 66.67 , 60.00 , 66.57 , 66.67 , 100.00 , -   , 100.00 , 99.33 , -   , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 , 100.00 ,, 28.00 , 999.00 
MWI_001193,Nkhata Bay District Hospital,North Zone,Nkhata Bay,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,54000, 59.51 , 43.45 , 75.56 , 68.33 , 75.00 , 88.98 , 68.33 , 100.00 , 80.16 , 100.00 , 74.39 , 100.00 , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 , 100.00 , 84.00 , 200.00 , 32.00 
MWI_001374,St. Martins Mission Hospital,South East Zone,Mangochi,SECONDARY,OTHER (SPECIFY),Community Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,43170, 58.17 , 51.33 , 65.00 , 66.67 , 65.00 , 66.78 , 66.67 , 60.00 , 88.33 , -   , 92.49 , 60.00 , 100.00 , 5.00 , 60.00 , 100.00 , 100.00 ,, 52.38 , 105.00 , 50.00 
MWI_000834,Manyamula Health Centre,North Zone,Mzimba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,32285, 55.43 , 29.76 , 81.11 , 50.00 , 45.00 , 42.92 , 50.00 , 18.18 , 37.50 , -   , 94.75 , 100.00 , -   , 5.00 , 20.00 , 50.00 , 100.00 ,, 55.56 , 9.00 , 4.00 
MWI_000829,Mangochi District Hospital,South East Zone,Mangochi,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,102734, 54.77 , 54.55 , 55.00 , 50.00 , 95.00 , 64.32 , 50.00 , 84.75 , -   , 80.00 , 91.19 , 80.00 ,, 5.00 , 80.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001095,Mzimba District Hospital,North Zone,Mzimba,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,117360, 57.82 , 36.67 , 78.98 , 66.67 , 75.00 , 55.40 , 66.67 , 86.96 , -   , 60.00 , 94.21 , 80.00 , -   , 5.00 , 80.00 , 66.67 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_000637,Kochilira Rural Hospital,Central West Zone,Mchinji,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,37238, 41.67 , 30.00 , 53.33 , 66.67 , 50.00 , 63.90 , 66.67 , 100.00 , -   , 20.00 , 96.73 , 100.00 ,, 5.00 , 20.00 , 100.00 , 100.00 ,, 86.49 , 74.00 , 10.00 
MWI_000982,Monkeybay Community Hospital,South East Zone,Mangochi,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,57667, 72.43 , 80.98 , 63.89 , 53.33 , 70.00 , 87.18 , 53.33 , 100.00 , 72.33 , 100.00 , 97.39 , 100.00 ,, 5.00 , 20.00 , 100.00 , 100.00 , 100.00 , 35.83 , 427.00 , 274.00 
MWI_001376,St. Michael-Guillime,Central West Zone,Mchinji,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,19471, 56.07 , 38.25 , 73.89 , 63.33 , 25.00 , 42.61 , 63.33 , 40.00 , -   , -   , 94.93 , -   , 100.00 , 5.00 , -   , -   , 100.00 ,, 49.61 , 129.00 , 65.00 
MWI_000711,St. Joseph Hospital (Mchinji),Central West Zone,Mchinji,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,25304, 55.28 , 45.00 , 65.56 , 60.00 , 25.00 , 73.34 , 60.00 , 100.00 , 100.00 , 40.00 , 88.35 , 25.00 , 100.00 , 5.00 , -   , 16.67 , 100.00 ,,, 999.00 , 999.00 
MWI_000945,Mitundu Community Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,227000, 49.83 , 41.33 , 58.33 , 66.67 , 45.00 , 85.74 , 66.67 , 100.00 , 100.00 , 40.00 , 93.50 , 100.00 , 100.00 , 5.00 , -   , 100.00 , 100.00 , 100.00 , 61.00 , 300.00 , 117.00 
MWI_000962,Mlambe Mission Hospital,South West Zone,Blantyre,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,112000, 60.39 , 43.33 , 77.44 , 66.67 , 60.00 , 64.67 , 66.67 , 55.56 , 20.67 , 80.00 , 89.80 , 40.00 , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 ,, 90.48 , 84.00 , 8.00 
MWI_000388,Embangweni Mission Hospital,North Zone,Mzimba,SECONDARY,OTHER GENERAL HOSPITAL,,MISSION/FAITH-BASED,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,70000, 56.82 , 33.64 , 80.00 , 66.67 , 25.00 , 75.95 , 66.67 , 50.00 , 31.67 , 100.00 , 83.31 , 100.00 , 100.00 , 1.00 , -   , 100.00 , 100.00 , 100.00 , 73.33 , 225.00 , 60.00 
MWI_000011,Lilongwe Adventist Hospital,Central West Zone,Lilongwe,PRIMARY,SPECIALTY HOSPITAL,,MISSION/FAITH-BASED,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,1100, 75.83 , 81.11 , 70.56 , 53.33 , 75.00 , 76.65 , 53.33 , 100.00 , 52.00 , 80.00 , 74.55 ,, 100.00 , 1.00 , 100.00 , 16.67 , 100.00 , 100.00 , 98.31 , 59.00 , 1.00 
MWI_001362,St. Gabriel Mission Hospital,Central West Zone,Lilongwe,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,15559, 69.01 , 62.44 , 75.58 , 66.67 , 45.00 , 58.97 , 66.67 , 76.47 , -   , 80.00 , 89.64 , 100.00 , -   , 5.00 , -   , 66.67 , 100.00 , 100.00 ,, 999.00 , 54.00 
MWI_001504,Zingwangwa Health Centre,South West Zone,Blantyre,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,OUTPATIENT ONLY,PRIMARY,67505, 71.06 , 69.33 , 72.78 , 60.00 , 90.00 , 88.33 , 60.00 , 100.00 , 100.00 , 60.00 , 98.29 , 100.00 , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 , 100.00 , 85.19 , 108.00 , 16.00 
MWI_001036,Mtimabi Health Centre,South East Zone,Mangochi,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,42000, 47.42 , 28.18 , 66.67 , 66.67 , 70.00 , 58.84 , 66.67 , -   ,, -   , 86.37 , 100.00 , 100.00 , 5.00 , 80.00 , 100.00 , 100.00 ,, 46.15 , 78.00 , 42.00 
MWI_000596,Katete Community Hospital,North Zone,Mzimba,SECONDARY,OTHER (SPECIFY),Community Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,14643, 66.47 , 49.05 , 83.89 , 46.67 , 75.00 , 48.87 , 46.67 , 77.78 , 100.00 , 20.00 , 97.65 , -   , -   , 1.00 , 100.00 , 83.33 , 100.00 ,, 68.97 , 29.00 , 9.00 
